start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label
1999,2008,10,10,50-59,-0.5977024754174539,0.5500739939129081,0.5377619716088998,0.5626678990967355,0,94179,7609,TRUE,Unadjusted
1999,2008,10,10,60-69,-0.5090499361829516,0.6010663590298759,0.5893435325970058,0.6130223680667354,0,59752,10739,TRUE,Unadjusted
1999,2008,10,10,70-79,-0.3684677679687155,0.6917935071487317,0.6806444136783627,0.7031252250301926,0,41507,16242,TRUE,Unadjusted
1999,2008,10,10,80-89,-0.19088819814213734,0.8262249564727688,0.8121212658327659,0.8405735786248962,1.0684520526741335e-104,21911,15422,TRUE,Unadjusted
2000,2009,10,10,18-29,-0.40050884180033575,0.6699790459415219,0.6233213118720606,0.7201292711339939,1.5214909835863296e-27,125558,1298,TRUE,Unadjusted
2000,2009,10,10,30-39,-0.5510552712946177,0.5763412929391214,0.5480784429930343,0.6060615778514752,2.3950644072695914e-102,112941,2074,TRUE,Unadjusted
2000,2009,10,10,40-49,-0.6223091317436684,0.5367036860981446,0.5205427258527211,0.5533663854383297,0,118516,4355,TRUE,Unadjusted
2000,2009,10,10,50-59,-0.5929411881151407,0.5526992991921977,0.5402040695575668,0.5654835506473234,0,95847,7652,TRUE,Unadjusted
2000,2009,10,10,60-69,-0.5110484706445668,0.5998663067699671,0.5880185551984539,0.6119527739671342,0,61047,10676,TRUE,Unadjusted
2000,2009,10,10,70-79,-0.3660792187476027,0.6934478649624041,0.6819511720830703,0.7051383751597109,0,40814,15720,TRUE,Unadjusted
2000,2009,10,10,80-89,-0.18829510155961823,0.8283702178166319,0.8142658226954479,0.8427189237711946,1.9374826034173862e-102,22179,15491,TRUE,Unadjusted
2001,2010,10,10,18-29,-0.3841434858179544,0.6810337014908767,0.6326960905567709,0.7330642776031944,1.5053269490924454e-24,125394,1263,TRUE,Unadjusted
2001,2010,10,10,30-39,-0.5515043466310937,0.5760825303853588,0.5475516509141012,0.6061000478423564,1.7180463229002589e-100,111092,1992,TRUE,Unadjusted
2001,2010,10,10,40-49,-0.6239860572647501,0.5358044281946641,0.519379404479788,0.5527488822175335,0,117094,4148,TRUE,Unadjusted
2001,2010,10,10,50-59,-0.6023903924335996,0.5475013276112998,0.5351082470377307,0.5601814313188855,0,97229,7599,TRUE,Unadjusted
2001,2010,10,10,60-69,-0.5230722373352499,0.5926968426084391,0.5809678033283638,0.6046626770459147,0,62567,10627,TRUE,Unadjusted
2001,2010,10,10,70-79,-0.3639148404018923,0.6949503739175851,0.6832254011652894,0.7068765613580461,0,40268,15084,TRUE,Unadjusted
2001,2010,10,10,80-89,-0.18347926402004539,0.8323691355486541,0.8182671588882163,0.8467141449931544,2.497435300308577e-98,22402,15480,TRUE,Unadjusted
2002,2011,10,10,18-29,-0.3584022310118077,0.6987919426800987,0.6491364095444211,0.7522458638506099,1.5733353989768377e-21,127045,1256,TRUE,Unadjusted
2002,2011,10,10,30-39,-0.539973776253428,0.5827635344168505,0.5532828642236524,0.6138150284530384,2.184015656831091e-92,110828,1910,TRUE,Unadjusted
