start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label,strat_var,stratum
2002,2011,10,10,80-89,-0.19397185133132308,0.823681089468342,0.8016216134709021,0.8463476105767221,1.4619994711168262e-44,8602,6245,TRUE,Male,sex,Male
2003,2012,10,10,18-29,-0.32018581032566246,0.7260141236191774,0.6618026692199156,0.7964556992733572,1.2280114290275865e-11,63437,836,TRUE,Male,sex,Male
2003,2012,10,10,30-39,-0.5043810594910411,0.6038792250965849,0.5623206600720689,0.6485091948364736,1.0389411606806736e-43,53322,1053,TRUE,Male,sex,Male
2003,2012,10,10,40-49,-0.6243341403202097,0.5356179562079216,0.5121891955093201,0.5601184045420393,8.518450982093282e-165,56627,2201,TRUE,Male,sex,Male
2003,2012,10,10,50-59,-0.578229773971922,0.560890391021672,0.5441399010430932,0.5781565184566929,8.455871989030342e-306,49795,4270,TRUE,Male,sex,Male
2003,2012,10,10,60-69,-0.5297987489445163,0.5887234389704011,0.5730577958032249,0.6048173327915926,5e-324,33098,5961,TRUE,Male,sex,Male
2003,2012,10,10,70-79,-0.38015139359903044,0.6837578848090409,0.666940392133876,0.7009994454567188,1.108855560044302e-196,18457,7147,TRUE,Male,sex,Male
2003,2012,10,10,80-89,-0.1916518084261582,0.82559428342395,0.803596042671499,0.8481947205169827,5.604061554844114e-44,9076,6364,TRUE,Male,sex,Male
2004,2013,10,10,18-29,-0.33902088882094966,0.7124675663263251,0.6497728358717699,0.7812115327750195,5.443650297214466e-13,65150,817,TRUE,Male,sex,Male
2004,2013,10,10,30-39,-0.5274989865168408,0.5900789210616113,0.5480091516034854,0.6353783181584021,2.1213262835376727e-44,54112,1015,TRUE,Male,sex,Male
2004,2013,10,10,40-49,-0.6197105528169524,0.5381001666333509,0.5136435897853697,0.5637212165965737,2.6522235627439257e-150,57205,2085,TRUE,Male,sex,Male
2004,2013,10,10,50-59,-0.5923700097716252,0.5530150792371489,0.5361541353809086,0.5704062650685282,1.0530504251859342e-307,51793,4150,TRUE,Male,sex,Male
2004,2013,10,10,60-69,-0.5315086295074468,0.5877176523377217,0.5717622364164419,0.6041183150434281,1.76842842775e-313,35067,5825,TRUE,Male,sex,Male
2004,2013,10,10,70-79,-0.39321934676899206,0.674880698449017,0.6577922117870475,0.6924131191849442,2.162238050181907e-198,19239,6888,TRUE,Male,sex,Male
2004,2013,10,10,80-89,-0.1974439006543346,0.8208261871481269,0.7987564541178397,0.8435057094496208,9.36597969221473e-46,9522,6371,TRUE,Male,sex,Male
2005,2014,10,10,18-29,-0.3131081779225639,0.7311708117510235,0.6647836637129495,0.8041875652761122,1.1392559994432345e-10,67073,765,TRUE,Male,sex,Male
2005,2014,10,10,30-39,-0.5374254833404114,0.5842504803838441,0.5405418709407676,0.6314933998261116,8.324480850243317e-42,55153,924,TRUE,Male,sex,Male
