survey,term,covariate,covariate_label,level,reference,year,coefficient,se,ci_lower,ci_upper,n_unweighted
GSS,sexFemale,sex,Sex,Female,Male,1988,-0.162345,0.051155,-0.262732,-0.061958,972
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1988,-0.179608,0.080366,-0.337321,-0.021896,972
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1988,-0.18449,0.132317,-0.444153,0.075172,972
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1988,0.338441,0.071494,0.198139,0.478743,972
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1988,0.754881,0.081794,0.594367,0.915394,972
GSS,age,age,Age,age,NA,1989,-0.01111,0.001562,-0.014176,-0.008045,1021
GSS,sexFemale,sex,Sex,Female,Male,1989,-0.00918,0.050734,-0.108735,0.090375,1021
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1989,-0.215441,0.089659,-0.391378,-0.039503,1021
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1989,-0.067968,0.123556,-0.310423,0.174487,1021
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1989,0.345341,0.075108,0.197956,0.492726,1021
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1989,0.587316,0.0854,0.419735,0.754898,1021
GSS,age,age,Age,age,NA,1990,-0.01145,0.001645,-0.014679,-0.008222,910
GSS,sexFemale,sex,Sex,Female,Male,1990,-0.005969,0.056036999999999997,-0.115947,0.104009,910
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1990,-0.097807,0.091942,-0.278251,0.082637,910
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1990,0.153031,0.145378,-0.132288,0.438349,910
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1990,0.44878,0.073924,0.303697,0.593862,910
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1990,0.637682,0.087061,0.466817,0.808548,910
GSS,age,age,Age,age,NA,1991,-0.011149,0.001621,-0.01433,-0.007968,982
GSS,sexFemale,sex,Sex,Female,Male,1991,-0.120311,0.050953,-0.2203,-0.020322,982
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1991,-0.069427,0.079494,-0.225426,0.086571,982
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1991,-0.100508,0.143407,-0.381929,0.180914,982
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1991,0.279826,0.077315,0.128104,0.431548,982
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1991,0.572963,0.08872,0.398859,0.747068,982
GSS,age,age,Age,age,NA,1993,-0.008635,0.001608,-0.011789000000000001,-0.00548,1065
GSS,sexFemale,sex,Sex,Female,Male,1993,-0.033382,0.051215,-0.133876,0.067112,1065
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1993,-0.014351,0.087982,-0.18699,0.158289,1065
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1993,-0.143872,0.127762,-0.394569,0.106825,1065
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1993,0.267532,0.079723,0.1111,0.423964,1065
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1993,0.618928,0.083061,0.455946,0.781911,1065
GSS,age,age,Age,age,NA,1994,-0.010689,0.001227,-0.013096,-0.008282,1988
GSS,sexFemale,sex,Sex,Female,Male,1994,0.022818,0.037734,-0.051184,0.09682,1988
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1994,-0.228612,0.062052,-0.350307,-0.106918,1988
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1994,-0.0653,0.097254,-0.256031,0.125431,1988
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1994,0.279582,0.054955,0.171805,0.387358,1988
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1994,0.50653,0.060866,0.387162,0.625899,1988
GSS,age,age,Age,age,NA,1996,-0.007521,0.001055,-0.009589,-0.005454,2408
GSS,sexFemale,sex,Sex,Female,Male,1996,0.015995,0.032991,-0.048699,0.080689,2408
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1996,-0.091254,0.049742,-0.188796,0.006288,2408
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1996,-0.126035,0.091078,-0.304636,0.052565,2408
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1996,0.393888,0.054623,0.286776,0.501001,2408
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1996,0.730552,0.057679,0.617446,0.843659,2408
GSS,age,age,Age,age,NA,1998,-0.010993,9.72e-4,-0.012899,-0.009087,2807
GSS,sexFemale,sex,Sex,Female,Male,1998,0.055995,0.030819,-0.004435,0.116426,2807
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,1998,-0.138927,0.046512,-0.230129,-0.047725,2807
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,1998,-0.24539,0.067107,-0.376974,-0.113806,2807
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,1998,0.385967,0.049053,0.289782,0.482151,2807
GSS,educ_3catBA_plus,educ_3cat,Education,BA_plus,LT_HS,1998,0.640959,0.052689,0.537646,0.744272,2807
GSS,age,age,Age,age,NA,2000,-0.010738,0.001025,-0.012747,-0.008729,2303
GSS,sexFemale,sex,Sex,Female,Male,2000,-0.074476,0.033295,-0.139768,-0.009185,2303
GSS,race_includehispBlack,race_includehisp,Race/Ethnicity,Black,White,2000,-0.186351,0.051354,-0.287056,-0.085645,2303
GSS,race_includehispHispanic,race_includehisp,Race/Ethnicity,Hispanic,White,2000,-0.077402,0.061511,-0.198024,0.04322,2303
GSS,race_includehispOther,race_includehisp,Race/Ethnicity,Other,White,2000,-0.098243,0.092489,-0.279614,0.083128,2303
GSS,educ_3catHS_SomeColl,educ_3cat,Education,HS_SomeColl,LT_HS,2000,0.388588,0.051675,0.287254,0.489922,2303
