period_index,estimate,se,p_value,period_group,period_group_label,period_midpoint,ci_lower,ci_upper,survey
4,0.0536512000927136,0.00377016740041302,6.0674310808938704e-46,4,2015-2019,2017,0.04626167198790407,0.06104072819752312,MEPS
5,0.0654883194193566,0.00483835440536843,9.870031752501258e-42,5,2020-2024,2022,0.05600514478483447,0.07497149405387872,MEPS
1,-0.036664008217121,0.00564845499305831,8.5313074095597e-11,1,1980-1984,1982,-0.04773498000351529,-0.02559303643072671,NHIS
2,0.0132232982028022,0.00402239731647918,0.00101113834680341,2,1985-1989,1987,0.005339399462503,0.02110719694310139,NHIS
3,0.0186455213509791,0.00453453721373073,3.92458366177816e-5,3,1990-1994,1992,0.00975782841206687,0.02753321428989133,NHIS
4,0.0408364918829627,0.0042142181532901,3.32602033185875e-22,4,1995-1999,1997,0.0325766243025141,0.04909635946341129,NHIS
5,0.00961820585147153,0.00342241430078916,0.00494873872477299,5,2000-2004,2002,0.00291027382192477,0.01632613788101828,NHIS
6,-0.00670798244533741,0.00382482527660274,0.0794648664414839,6,2005-2009,2007,-0.01420463998747878,7.886750968039606e-4,NHIS
7,0.018638451582445,0.00348915859762141,9.20356231516015e-8,7,2010-2014,2012,0.01179970073110703,0.02547720243378296,NHIS
8,0.00891358877085242,0.00352047752882846,0.0113439185139768,8,2015-2019,2017,0.00201345281434863,0.0158137247273562,NHIS
9,-0.0665035669790544,0.00326835040404254,5.039911470623527e-92,9,2020-2024,2022,-0.07290953377097777,-0.06009760018713101,NHIS
1,-0.0497675256523998,0.00235753695461716,6.528182727995168e-99,1,1995-1999,1997,-0.05438829808344943,-0.04514675322135016,CPS
2,-0.0292824393793578,0.00203652221405818,7.06590566159948e-47,2,2000-2004,2002,-0.03327402291891183,-0.02529085583980376,CPS
3,-0.0191331132491602,0.00181301692600552,4.9142202455931196e-26,3,2005-2009,2007,-0.02268662642413102,-0.01557960007418938,CPS
4,-0.00608950282521565,0.00191170090748388,0.00144562879410927,4,2010-2014,2012,-0.00983643660388405,-0.00234256904654724,CPS
5,0.0416558873694752,0.00174732440409209,1.3198519185917396e-125,5,2015-2019,2017,0.03823113153745471,0.0450806432014957,CPS
6,0.0431536213761652,0.00176479154873033,4.8443993263736074e-132,6,2020-2024,2022,0.03969462994065375,0.04661261281167665,CPS
7,0.019463072360493,0.00355307714605589,4.30656003741327e-8,7,2025-2029,2027,0.01249904115422345,0.02642710356676254,CPS
1,0.0850274633406602,0.00877464981654232,3.32466882771248e-22,1,1990-1994,1992,0.06782914970023726,0.10222577698108316,BRFSS
2,0.0825671410386881,0.00606014403449548,2.87068962615246e-42,2,1995-1999,1997,0.07068925873107697,0.09444502334629924,BRFSS
3,0.0172225722379068,0.00565063762780553,0.00230450242166426,3,2000-2004,2002,0.00614732248740796,0.02829782198840564,BRFSS
4,0.011910076819489,0.00521894259449984,0.0224843496162972,4,2005-2009,2007,0.00168094933426931,0.02213920430470868,BRFSS
5,-0.0159645504947768,0.00504157986092998,0.00154246697496619,5,2010-2014,2012,-0.02584604702219956,-0.00608305396735404,BRFSS
6,-0.0299377144954874,0.00513649069831363,5.595673671206391e-9,6,2015-2019,2017,-0.04000523626418211,-0.01987019272679268,BRFSS
7,-0.00471962711449696,0.00527890696709413,0.371293178396637,7,2020-2024,2022,-0.01506628477000145,0.00562703054100753,BRFSS
8,-0.146105361331983,0.0273433764963156,9.12511998824526e-8,8,2025-2029,2027,-0.1996983792647616,-0.09251234339920444,BRFSS
