cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,interpretation,birth_year_approx,survey
20,-0.0605183562128698,0.00987114945273918,-6.13083172356148,8.74342816450429e-10,20,1989.5,-0.0798658091402386,-0.041170903285501,***,Accumulating disadvantage,1990,NHIS
21,-0.0588794712478453,0.0108085489859425,-5.44749080791729,5.10903171757471e-8,21,1994.5,-0.08006422726029261,-0.03769471523539799,***,Accumulating disadvantage,1994,NHIS
22,NA,NA,NA,NA,22,1999.5,NA,NA,NA,Not estimable,2000,NHIS
1,NA,NA,NA,NA,1,1909.5,NA,NA,NA,Not estimable,1910,CPS
2,0.015608495765265,0.0139647147823953,1.11770959940707,0.263691113256541,2,1914.5,-0.01176234520822978,0.04297933673875978,NA,Constant/non-significant,1914,CPS
3,0.0721721436461119,0.0102928376858074,7.01188009071871,2.3517615699340597e-12,3,1919.5,0.05199818178192939,0.0923461055102944,***,Accumulating advantage,1920,CPS
4,0.0915437379117859,0.00973486004325067,9.40370354633445,5.27036771722656e-21,4,1924.5,0.07246341222701458,0.1106240635965572,***,Accumulating advantage,1924,CPS
5,0.120541029063789,0.00912713917926535,13.206879691024,8.02401585378745e-40,5,1929.5,0.10265183627242892,0.13843022185514908,***,Accumulating advantage,1930,CPS
6,0.118373703829139,0.00899031044796586,13.1668093681817,1.36511006644214e-39,6,1934.5,0.10075269535112592,0.1359947123071521,***,Accumulating advantage,1934,CPS
7,0.0979989507770151,0.01335175385279,7.33978111471379,2.13986417848829e-13,7,1939.5,0.0718295132255467,0.12416838832848352,***,Accumulating advantage,1940,CPS
8,0.100099863579476,0.0115718725895457,8.65027356677854,5.13958335583411e-18,8,1944.5,0.07741899330396643,0.1227807338549856,***,Accumulating advantage,1944,CPS
9,0.0420894893014993,0.00930587966515189,4.52289206565969,6.10022180813922e-6,9,1949.5,0.02384996515780159,0.060329013445197,***,Accumulating advantage,1950,CPS
