cohort_index,estimate,se,t_stat,p_value,cohort_group,cohort_midpoint,ci_lower,ci_upper,sig,birth_year_approx,survey
17,-0.0123301477761197,0.0134029093508849,-0.919960543887853,0.35759730445239,17,1964.5,-0.0385998501038541,0.0139395545516147,NA,1964,GSS
18,-0.0307533584606009,0.0158712454499968,-1.93767770509826,0.0526675303354943,18,1969.5,-0.06186099954259462,3.54282621392827e-4,.,1970,GSS
19,-0.0801849472695536,0.0162791782544853,-4.92561393554745,8.43328797179578e-7,19,1974.5,-0.11209213664834478,-0.0482777578907624,***,1974,GSS
20,-0.0642694215670028,0.0176870403974604,-3.63370129330575,2.79631684710651e-4,20,1979.5,-0.09893602074602516,-0.02960282238798042,***,1980,GSS
21,-0.118479963456317,0.0209067807490325,-5.6670591650893,1.45974119838679e-8,21,1984.5,-0.1594572537244207,-0.0775026731882133,***,1984,GSS
22,-0.164961545064505,0.0249355036381329,-6.61552890442669,3.7351702777122594e-11,22,1989.5,-0.21383513219524547,-0.11608795793376452,***,1990,GSS
23,-0.142116585528119,0.0322648544897012,-4.40468701241105,1.06131079631665e-5,23,1994.5,-0.20535570032793335,-0.07887747072830466,***,1994,GSS
24,-0.138672500075823,0.0382515875375588,-3.62527437429002,2.88908206646855e-4,24,1999.5,-0.21364561164943824,-0.06369938850220774,***,2000,GSS
1,-0.172315180389341,0.0406741094701206,-4.2364831740428,2.27352859642524e-5,1,1924.5,-0.2520364349507774,-0.0925939258279046,***,1924,NHANES
2,-0.104409630574328,0.0302677100381945,-3.44953848317479,5.61893419389371e-4,2,1929.5,-0.16373434224918923,-0.04508491889946679,***,1930,NHANES
3,-0.0271703915276572,0.0244538929484316,-1.11108654908052,0.266535111253577,3,1934.5,-0.07510002170658313,0.02075923865126873,NA,1934,NHANES
4,0.00605621417339382,0.0205474379586683,0.294743032468381,0.768191106877892,4,1939.5,-0.03421676422559604,0.04632919257238368,NA,1940,NHANES
5,0.0609395207337744,0.0191577249995015,3.18093723212751,0.00146866763354843,5,1943.5,0.02339037973475145,0.09848866173279734,**,1944,NHANES
6,0.0467643282618356,0.017384463677916,2.69000695841091,0.00714683501955856,6,1944.5,0.01269077945312024,0.08083787707055096,**,1944,NHANES
7,0.0395911417315518,0.0166042749260931,2.3843944952595,0.017110036766972,7,1948.5,0.00704676287640932,0.07213552058669429,*,1948,NHANES
8,0.0015267772987494,0.0158517508979593,0.096316003738486,0.923269891056321,8,1949.5,-0.02954265446125082,0.03259620905874962,NA,1950,NHANES
9,-0.0175289017641391,0.016831170662054,-1.04145469831508,0.297668351153495,9,1953.5,-0.05051799626176494,0.01546019273348674,NA,1954,NHANES
10,0.0150147888244691,0.0158716276833149,0.946014430533389,0.344144660765329,10,1954.5,-0.0160936014348281,0.04612317908376631,NA,1954,NHANES
11,-0.0181851856277086,0.0169840518819078,-1.07072127158775,0.284298658476965,11,1958.5,-0.05147392731624788,0.01510355606083068,NA,1958,NHANES
12,-0.0111394981552221,0.0152591150095457,-0.730022556894917,0.465378966341575,12,1959.5,-0.04104736357393167,0.01876836726348747,NA,1960,NHANES
13,-0.00147776506166105,0.0175932308411228,-0.0839962298571613,0.93305968196476,13,1963.5,-0.03596049751026174,0.03300496738693963,NA,1964,NHANES
14,-0.0554396863292063,0.0191146951830307,-2.900369888107,0.00372844508993695,14,1964.5,-0.09290448888794647,-0.01797488377046613,**,1964,NHANES
15,-0.032279686309516,0.0297416727393555,-1.08533526652662,0.277777123144996,15,1968.5,-0.09057336487865278,0.02601399225962078,NA,1968,NHANES
16,0.0902953947641359,0.0490330166511674,1.8415223237542,0.0655494996946381,16,1969.5,-0.00580931787215222,0.186400107400424,.,1970,NHANES
1,-0.0569953513313054,0.024313491239432,-2.34418622854416,0.0190690802486434,1,1914.5,-0.10464979416059211,-0.00934090850201867,*,1914,MEPS
2,-0.0455688921286142,0.0157437989956734,-2.89440256072483,0.00379899044853641,2,1919.5,-0.07642673816013407,-0.01471104609709433,**,1920,MEPS
3,-0.0446466022537362,0.0115784977534476,-3.85599265158921,1.15276977192146e-4,3,1924.5,-0.0673404578504935,-0.0219527466569789,***,1924,MEPS
4,-0.0328330039486757,0.00941962733912421,-3.4855947869938,4.91090976229795e-4,4,1929.5,-0.05129547353335915,-0.01437053436399225,***,1930,MEPS
5,0.00113870887132536,0.00895797186273198,0.127116817151743,0.898847998096396,5,1934.5,-0.01641891597962931,0.01869633372228004,NA,1934,MEPS
6,0.0323471044044295,0.00778762307352119,4.15365562753202,3.27265781935085e-5,6,1939.5,0.01708336318032796,0.04761084562853103,***,1940,MEPS
7,0.0435592487695562,0.00654021149786686,6.66022020599233,2.7373013730257097e-11,7,1944.5,0.03074043423373715,0.05637806330537524,***,1944,MEPS
8,0.0242164971064136,0.00583338579042582,4.15136217223272,3.30563044403157e-5,8,1949.5,0.01278306095717899,0.0356499332556482,***,1950,MEPS
9,0.00306037859058982,0.00549312493796375,0.557128888410878,0.577439648437314,9,1954.5,-0.00770614628781913,0.01382690346899877,NA,1954,MEPS
10,0.0123018548358066,0.00541379604858122,2.27231589912415,0.0230679070040573,10,1959.5,0.0016908145805874,0.02291289509102579,*,1960,MEPS
11,0.00928352535795563,0.00544966494648835,1.70350387576354,0.0884745040741991,11,1964.5,-0.00139781793716153,0.01996486865307279,.,1964,MEPS
12,0.00398197758632236,0.0053527194108038,0.743916742260996,0.456927234546031,12,1969.5,-0.00650935245885308,0.0144733076314978,NA,1970,MEPS
13,-0.0042262415459576,0.00544978074317003,-0.775488362766551,0.438051546998583,13,1974.5,-0.01490781180257086,0.00645532871065566,NA,1974,MEPS
14,-0.00791642018821856,0.00543745420251058,-1.45590563035242,0.145419406933171,14,1979.5,-0.01857383042513929,0.00274099004870217,NA,1980,MEPS
15,-0.00377456742088441,0.00623049407834643,-0.605821524492352,0.544633580602359,15,1984.5,-0.01598633581444341,0.00843720097267459,NA,1984,MEPS
16,1.98254208598245e-5,0.00730327078313461,0.00271459479574647,0.997834070587577,16,1989.5,-0.01429458531408401,0.01433423615580365,NA,1990,MEPS
17,-0.0557843407222662,0.0106832765741306,-5.22165089850312,1.77413624296353e-7,17,1994.5,-0.07672356280756218,-0.03484511863697022,***,1994,MEPS
18,-0.0487207359311788,0.0195215105829665,-2.49574620386653,0.0125696048485331,18,1999.5,-0.08698289667379314,-0.01045857518856446,*,2000,MEPS
1,0.0393138494311381,0.0405349565485881,0.969875208426923,0.3321087959647,1,1894.5,-0.04013466540409457,0.11876236426637075,NA,1894,NHIS
2,-0.0258879520439642,0.0206170470209423,-1.25565761273512,0.209240254826578,2,1899.5,-0.0662973642050111,0.0145214601170827,NA,1900,NHIS
3,-0.00976480497857096,0.0145760318324421,-0.66992203988175,0.502907553057701,3,1904.5,-0.03833382737015747,0.01880421741301555,NA,1904,NHIS
4,-0.0737096136350494,0.010831050844283,-6.80539817371054,1.0079344925551099e-11,4,1909.5,-0.09493847328984407,-0.05248075398025471,***,1910,NHIS
5,-0.089933241495799,0.00844184353509531,-10.6532703575847,1.68573227783738e-26,5,1914.5,-0.1064792548245858,-0.0733872281670122,***,1914,NHIS
6,-0.056458660773328,0.00725922959767086,-7.77750035505736,7.40004815357393e-15,6,1919.5,-0.07068675078476289,-0.04223057076189311,***,1920,NHIS
7,-0.037893656623735,0.00630616684510291,-6.00898415067492,1.8671592880292e-9,7,1924.5,-0.0502537436401367,-0.02553356960733329,***,1924,NHIS
8,0.00175385172402289,0.00609621737801583,0.287695076351382,0.773580183927545,8,1929.5,-0.01019473433688813,0.01370243778493391,NA,1930,NHIS
9,0.0317477091662997,0.0055958177440633,5.67347090601394,1.39948792466864e-8,9,1934.5,0.02077990638793563,0.04271551194466377,***,1934,NHIS
10,0.0653185926705085,0.00499288882464552,13.0823246750634,4.16810157183348e-39,10,1939.5,0.05553253057420328,0.07510465476681372,***,1940,NHIS
11,0.0673228563633823,0.00429198274956022,15.685723893061,1.90590835776895e-55,11,1944.5,0.05891057017424427,0.07573514255252033,***,1944,NHIS
12,0.0659708702931982,0.00385522839452078,17.1120523979744,1.2175373303766401e-65,12,1949.5,0.05841462263993748,0.07352711794645893,***,1950,NHIS
13,0.0317615546844399,0.00359506858242683,8.83475626576208,1.00381583482649e-18,13,1954.5,0.02471522026288331,0.03880788910599649,***,1954,NHIS
14,0.015506921110445,0.00350564283766746,4.42341728136881,9.71560724499938e-6,14,1959.5,0.00863586114861678,0.02237798107227322,***,1960,NHIS
15,-0.00725058663320619,0.00359131155405482,-2.01892443027389,0.0434951847736829,15,1964.5,-0.01428955727915363,-2.116159872587427e-4,*,1964,NHIS
16,-0.0233182879505498,0.00392037992410833,-5.94796637110456,2.7153146664083703e-9,16,1969.5,-0.03100223260180212,-0.01563434329929747,***,1970,NHIS
17,-0.0261301054416454,0.00426956744214062,-6.12008260690331,9.35411481332767e-10,17,1974.5,-0.03449845762824102,-0.01776175325504978,***,1974,NHIS
18,-0.0501717129352658,0.00454288065838946,-11.0440305850017,2.3464936795537892e-28,18,1979.5,-0.05907575902570915,-0.04126766684482245,***,1980,NHIS
19,-0.0423702466625502,0.00505885008338873,-8.37546991196228,5.50327502486387e-17,19,1984.5,-0.05228559282599211,-0.03245490049910829,***,1984,NHIS
20,-0.0612226216806012,0.00590138480122922,-10.374280570189,3.2504481491829396e-25,20,1989.5,-0.07278933589101047,-0.04965590747019192,***,1990,NHIS
21,-0.0457627281320114,0.00776789287769054,-5.89126663466774,3.83297065478712e-9,21,1994.5,-0.06098779817228485,-0.03053765809173794,***,1994,NHIS
22,-0.0488724457671092,0.0114219819897644,-4.27880606105888,1.87905702210223e-5,22,1999.5,-0.07125953046704743,-0.02648536106717098,***,2000,NHIS
1,-0.130088566365622,0.0169147643023678,-7.69082938669221,1.46219544874981e-14,1,1909.5,-0.16324150439826288,-0.09693562833298112,***,1910,CPS
2,-0.116340497338585,0.0101399781371013,-11.4734465662114,1.7958071780673597e-30,2,1914.5,-0.13621485448730353,-0.09646614018986643,***,1914,CPS
3,-0.098629074309349,0.00590165069275658,-16.7121165660316,1.0753261886922098e-62,3,1919.5,-0.1101963096671519,-0.08706183895154611,***,1920,CPS
4,-0.0668392428707889,0.00484023245940975,-13.809097689275,2.2517900264951092e-43,4,1924.5,-0.07632609849123201,-0.0573523872503458,***,1924,CPS
5,-0.0301138551957491,0.00409980720669633,-7.34518812166662,2.0551128414741003e-13,5,1929.5,-0.0381494773208739,-0.02207823307062429,***,1930,CPS
6,9.49527424584805e-5,0.00365257973884676,0.0259960765397172,0.979260469247282,6,1934.5,-0.00706410354568116,0.00725400903059812,NA,1934,CPS
7,0.0407084992114134,0.00426301598640989,9.54922508880766,1.30744109543419e-21,7,1939.5,0.03235298787805002,0.04906401054477678,***,1940,CPS
8,0.0636908175425554,0.0036518782908113,17.4405641345747,4.08577375663711e-68,8,1944.5,0.05653313609256525,0.07084849899254554,***,1944,CPS
9,0.0501322066476959,0.00298833482818562,16.775967061942,3.6780674245308603e-63,9,1949.5,0.04427507038445209,0.05598934291093972,***,1950,CPS
10,0.0342871541616937,0.0026746679062044,12.8192191943374,1.28216473459792e-37,10,1954.5,0.02904480506553307,0.03952950325785432,***,1954,CPS
11,0.0261209082243358,0.00252043268646312,10.363660320955,3.630911884654459e-25,11,1959.5,0.02118086015886808,0.03106095628980351,***,1960,CPS
12,0.0221730453471929,0.00244482679858168,9.06937266887626,1.19759572347472e-19,12,1964.5,0.0173811848219728,0.02696490587241299,***,1964,CPS
13,0.0282791370431789,0.00244181021941235,11.5812182365199,5.137418066361789e-31,13,1969.5,0.02349318901313069,0.0330650850732271,***,1970,CPS
14,0.0146373890036734,0.00236508685341422,6.1889435402945,6.05750074782369e-10,14,1974.5,0.01000181877098153,0.01927295923636527,***,1974,CPS
15,-0.00965088839902127,0.00250636388461489,-3.85055356816401,1.17853106259546e-4,15,1979.5,-0.01456336161286645,-0.00473841518517608,***,1980,CPS
16,-0.0282651153996811,0.00275591625745658,-10.2561590263148,1.11119403554869e-24,16,1984.5,-0.033666711264296,-0.0228635195350662,***,1984,CPS
17,-0.0419157514478737,0.00318410852264736,-13.1640461214631,1.41597766820826e-39,17,1989.5,-0.04815660415226252,-0.03567489874348487,***,1990,CPS
18,-0.0698835694428939,0.00411960715247315,-16.9636489248593,1.5341988851396898e-64,18,1994.5,-0.07795799946174127,-0.06180913942404652,***,1994,CPS
19,-0.103560556948243,0.00586436787141949,-17.659287278507,8.688841112516057e-70,19,1999.5,-0.1150547179762252,-0.0920663959202608,***,2000,CPS
20,-0.100525049884991,0.0105657007851889,-9.51428134572088,1.83075469659992e-21,20,2004.5,-0.12123382342396125,-0.07981627634602076,***,2004,CPS
1,-0.202196081563452,0.0390485824502282,-5.17806457689402,2.2421979150384e-7,1,1904.5,-0.2787313031658993,-0.12566085996100473,***,1904,BRFSS
