age_index,estimate,se,p_value,age_group,age_group_label,age_midpoint,ci_lower,ci_upper,survey
5,0.17930483692393,0.00602321984076534,1.5269697905380595e-194,5,40-44,42.5,0.16749932603602993,0.1911103478118301,MEPS
6,0.0848521908449492,0.00609084723628312,4.18763475135364e-44,6,45-49,47.5,0.07291413026183428,0.09679025142806412,MEPS
7,0.0110000201673502,0.00603724000036848,0.0684514048786754,7,50-54,52.5,-8.329702333720185e-4,0.02283301056807242,MEPS
8,-0.0401916918641938,0.00632080310179629,2.03746001024477e-10,8,55-59,57.5,-0.05258046594371453,-0.02780291778467307,MEPS
9,-0.096364797042685,0.00659494010396401,2.41851578615329e-48,9,60-64,62.5,-0.10929087964645444,-0.08343871443891554,MEPS
10,-0.138576375211525,0.00686477888514662,1.4094346490150895e-90,10,65-69,67.5,-0.15203134182641237,-0.12512140859663762,MEPS
11,-0.216041218312711,0.00754226719324811,2.763897860957839e-180,11,70-74,72.5,-0.2308240620114773,-0.20125837461394472,MEPS
12,-0.325577006474455,0.00853072155721587,3.453114e-301,12,75-79,77.5,-0.3422972207265981,-0.3088567922223119,MEPS
13,-0.410647251715886,0.0101544619242967,0,13,80-84,82.5,-0.4305499970875075,-0.3907445063442645,MEPS
14,-0.568357446059452,0.0116203836377738,0,14,85-89,87.5,-0.5911333979894887,-0.5455814941294154,MEPS
1,0.529716919267461,0.00386713492707266,0,1,20-24,22.5,0.5221373348103986,0.5372965037245234,NHIS
2,0.504728408643096,0.00358353886046715,0,2,25-29,27.5,0.49770467247658035,0.5117521448096116,NHIS
3,0.448222729666958,0.00355177685734701,0,3,30-34,32.5,0.44126124702655783,0.4551842123073581,NHIS
4,0.378010938856156,0.00370574008040675,0,4,35-39,37.5,0.3707476882985587,0.3852741894137533,NHIS
5,0.281621954115892,0.00408720207691714,0,5,40-44,42.5,0.2736110380451344,0.2896328701866496,NHIS
6,0.161221185038151,0.00449251403544234,6.995077310980595e-282,6,45-49,47.5,0.152415857528684,0.170026512547618,NHIS
7,0.0348169169773825,0.00470336281972718,1.33672841221141e-13,7,50-54,52.5,0.02559832585071722,0.04403550810404777,NHIS
8,-0.0922010551262947,0.00463211363215639,3.8259985817768403e-88,8,55-59,57.5,-0.10127999784532124,-0.08312211240726818,NHIS
9,-0.200582336891081,0.00471522521828079,0,9,60-64,62.5,-0.20982417831891137,-0.19134049546325063,NHIS
10,-0.2486695046345,0.00465487658057838,0,10,65-69,67.5,-0.25779306273243363,-0.23954594653656636,NHIS
11,-0.326868708067161,0.00507480807364595,0,11,70-74,72.5,-0.3368153318915071,-0.31692208424281493,NHIS
12,-0.410578874016935,0.00572708862690957,0,12,75-79,77.5,-0.42180396772567774,-0.39935378030819224,NHIS
13,-0.502514246949996,0.00705399804886327,0,13,80-84,82.5,-0.5163400831257681,-0.488688410774224,NHIS
14,-0.55692432687913,0.009342610633076,0,14,85-89,87.5,-0.575235843719959,-0.538612810038301,NHIS
1,0.621618042999676,0.00245649633775589,0,1,20-24,22.5,0.6168033101776745,0.6264327758216776,CPS
2,0.528646730307414,0.0024601863910833,0,2,25-29,27.5,0.5238247649808908,0.5334686956339373,CPS
3,0.487311958086394,0.00237984446203075,0,3,30-34,32.5,0.4826474629408138,0.49197645323197425,CPS
4,0.41922589873545,0.0023120825339131,0,4,35-39,37.5,0.41469421696898034,0.4237575805019197,CPS
5,0.33232679614398,0.00239240626343994,0,5,40-44,42.5,0.3276376798676377,0.33701591242032225,CPS
6,0.209047098887665,0.00254526447672087,0,6,45-49,47.5,0.20405838051329211,0.2140358172620379,CPS
7,0.0986304445385871,0.00271578137044153,9.615297520460596e-289,7,50-54,52.5,0.0933075130525217,0.1039533760246525,CPS
8,-0.0240841924871787,0.00293380428629534,2.22732546002243e-16,8,55-59,57.5,-0.02983444888831756,-0.01833393608603983,CPS
9,-0.14135217872331,0.00304987442219596,0,9,60-64,62.5,-0.14732993259081406,-0.13537442485580592,CPS
10,-0.270082127761006,0.00316510559189997,0,10,65-69,67.5,-0.27628573472112994,-0.26387852080088203,CPS
11,-0.379133435256575,0.00339683615373175,0,11,70-74,72.5,-0.3857912341178893,-0.3724756363952608,CPS
12,-0.509514495687702,0.00383062550351316,0,12,75-79,77.5,-0.5170225216745878,-0.5020064697008162,CPS
13,-0.623255431190157,0.00467629688486835,0,13,80-84,82.5,-0.632420973084499,-0.6140898892958151,CPS
14,-0.74938510859324,0.00590665727749639,0,14,85-89,87.5,-0.760962156857133,-0.7378080603293471,CPS
1,0.294626030843772,0.0119522429993372,3.816756582734588e-134,1,20-24,22.5,0.27119963456507107,0.3180524271224729,BRFSS
2,0.30576694248847,0.0168756847066108,2.2941265644149893e-73,2,25-29,27.5,0.2726906004635128,0.33884328451342716,BRFSS
3,0.285628211469833,0.0126645771925476,1.2841881470846294e-112,3,30-34,32.5,0.26080564017243973,0.3104507827672263,BRFSS
4,0.260087906854131,0.0124128942305747,1.8003187576697996e-97,4,35-39,37.5,0.2357586341622046,0.28441717954605744,BRFSS
5,0.151248651277242,0.0119634312739276,1.23321393212082e-36,5,40-44,42.5,0.1278003259803439,0.17469697657414007,BRFSS
6,0.100633973007735,0.0207319593184579,1.20973520652218e-6,6,45-49,47.5,0.05999933274355751,0.14126861327191248,BRFSS
7,0.0313103794572704,0.0133299322119776,0.0188301847909878,7,50-54,52.5,0.0051837123217943,0.05743704659274649,BRFSS
8,-0.0727874737105235,0.0173871585770994,2.83577705123338e-5,8,55-59,57.5,-0.10686630452163833,-0.03870864289940869,BRFSS
9,-0.165296393240117,0.0140438326750994,5.58282948442794e-32,9,60-64,62.5,-0.19282230528331185,-0.13777048119692217,BRFSS
10,-0.171175513773397,0.0131059555696567,5.5265434770434e-39,10,65-69,67.5,-0.1968631866899241,-0.14548784085686986,BRFSS
11,-0.229706737518807,0.0130309820286536,1.5260163065267896e-69,11,70-74,72.5,-0.25524746229496803,-0.20416601274264592,BRFSS
12,-0.362109165496013,0.0165609116647344,5.711564097199816e-106,12,75-79,77.5,-0.3945685523588924,-0.3296497786331336,BRFSS
13,-0.428226811659598,0.0133489048846209,9.623378526141966e-226,NA,NA,NA,-0.45439066523345495,-0.402062958085741,BRFSS
