cohort,estimate,std_error,ci_lower_90,ci_upper_90,survey
1960,0.05128926408788858,0.01544440349199995,0.02644697299015273,0.07730036442990064,nhis
1964,0.00742297466274138,0.01664691090683701,-0.01919236862819782,0.03521250600386074,nhis
1968,0.02266372505007591,0.01670412128602147,-0.00394339256067745,0.05079631976199933,nhis
1972,0.00382954091729787,0.01851213333054247,-0.02552763562504667,0.03538281198098914,nhis
1976,0.03230439188022108,0.0187379848743292,0.0020264117733459,0.06401295271580323,nhis
1980,-0.0149069580986834,0.02021643112990353,-0.04807981359683679,0.01844152528238227,nhis
1984,-0.00466178656989794,0.02084709399660556,-0.0384576802087042,0.03046112408544815,nhis
1988,-0.00813729114682547,0.02278671245743938,-0.04547904711050307,0.02943485039140347,nhis
1992,-0.02281123960847124,0.02437923391549123,-0.06229645559367602,0.01779008206838202,nhis
1996,-0.0547331331792556,0.0282353879397641,-0.10044483757951368,-0.0077332097586715,nhis
2000,-0.06163217060307464,0.04034571705525543,-0.12918138893635264,0.00472998123797368,nhis
2004,-0.07104834812778457,0.05363375274404965,-0.16043669877176928,0.0148915859592736,nhis
1908,-0.0099180819899144,0.06344982094003036,-0.11309902236787069,0.0936752267834582,cps
1912,-0.03865674526342717,0.04471929513561992,-0.11319813388816406,0.03367201801677474,cps
1916,-0.123511916902018,0.0372981445394626,-0.1856210787916793,-0.06324259470000097,cps
1920,-0.10789904306446028,0.0281350273556612,-0.15442592690875895,-0.0622890446120007,cps
1924,-0.01655656499560094,0.02939807440971695,-0.06549621893771089,0.03222298973044138,cps
1928,-0.02707616592486642,0.02388387754625083,-0.0661868140029292,0.01258900756995908,cps
1932,-0.0294043400098888,0.02327040125566839,-0.06670352215357117,0.00942838087941649,cps
1936,0.00194991736164828,0.02051111277142023,-0.03089049530938929,0.03579050963600682,cps
1940,0.03115477821420477,0.02218272045516768,-0.0054163358192882,0.06783634662517025,cps
1944,0.03758968242786443,0.01860465830500388,0.00750269955573967,0.06903767322997374,cps
1948,0.05458898577180984,0.01895910925092439,0.02419485573788341,0.08614318601875261,cps
1952,0.06969544969678101,0.01752346805046146,0.04167625895646795,0.0988407675611062,cps
1956,0.07933573193679172,0.01811453153778483,0.04984695628772404,0.10947205896636618,cps
1960,0.07498837618386724,0.01715327531054672,0.04782896795814396,0.1037311163054565,cps
1964,0.06272702903045464,0.01864636624919759,0.03302096392637625,0.09438166317374704,cps
1968,0.08348964783766635,0.01757113316391025,0.05586533449083118,0.11295321706153746,cps
1972,0.05088764371685666,0.01872659304840174,0.02086365635901638,0.08186839876199224,cps
1976,0.05097252699693312,0.01847128489377506,0.02135830152962436,0.0816774669898918,cps
1980,-0.00179406057790051,0.01968777713479581,-0.03342226018350948,0.03067172653804653,cps
1984,-0.00132238996671263,0.01996373025095513,-0.03397718639236467,0.03167410558512078,cps
1988,-0.00477025726262382,0.02186795997322665,-0.04014663292382853,0.03070081378830609,cps
1992,-0.01651544954796847,0.02307767453543568,-0.05427774098955571,0.02117436542108871,cps
1996,-0.05291247555754812,0.02558035317683801,-0.09505062229819557,-0.01180714525871111,cps
2000,-0.08144842477846241,0.02911941496018473,-0.12998965455527897,-0.03406908557873197,cps
2004,-0.08613870388029822,0.03572583990014947,-0.1456443461606372,-0.02796037260012954,cps
1916,0.0015309342287777,0.04621402768151999,-0.07517933280639033,0.07628452515332787,nhanes
1920,-0.12520607014203144,0.04149751957785284,-0.1960844417172664,-0.05969760881381027,nhanes
1924,0.01437115248950322,0.03310801577142504,-0.03927546314795904,0.06946352848962578,nhanes
1928,-0.00667618730784229,0.02650401799697497,-0.05002027365708624,0.03624476271399359,nhanes
1932,0.05192995518937717,0.0253109405370067,0.01142913217305409,0.0949604681637802,nhanes
1936,-0.00719283927400333,0.02204647038872904,-0.04313785368915707,0.02908539485992022,nhanes
1940,0.01169467032301528,0.02479738242918974,-0.02775047652720487,0.05309312871426048,nhanes
1944,0.02172943628795961,0.02053707018828905,-0.01064124011164123,0.05647229845036957,nhanes
1948,-4.837349619476145e-4,0.02046858576277401,-0.0335651383224259,0.03335346400224694,nhanes
1952,-0.01141506317210843,0.01880284303603765,-0.04205269672417901,0.01981103964918196,nhanes
1956,0.01636267161005981,0.02132956158221114,-0.01788460646968015,0.05163660677383221,nhanes
1960,0.00592470563959824,0.01901136565063705,-0.02485278642840121,0.03767565785903563,nhanes
1964,0.00239729158204036,0.02131448517791428,-0.03227726409052415,0.03799357724046533,nhanes
1968,0.06404014893357281,0.01946247391033083,0.03285608284484253,0.0967924814199648,nhanes
1972,0.06932001847994489,0.02174873770193657,0.03424312659190694,0.10596019205396688,nhanes
1976,0.04328336223386798,0.01951642788746468,0.01184168617498029,0.07586661456197084,nhanes
1980,-0.01831838714117284,0.02187850548498084,-0.05483979827605166,0.01755228087738132,nhanes
1984,0.02306587012279168,0.02128454386844596,-0.01164859839135466,0.05758346003062527,nhanes
1988,-0.01383225432192168,0.02348673449750602,-0.05252679955827126,0.02424579693460621,nhanes
1992,-0.05295257115780405,0.02652160996370961,-0.0972872005011844,-0.01094246395728906,nhanes
1996,-0.05551544697853024,0.02970121154966507,-0.10559311525939852,-0.00851586291861795,nhanes
2000,-0.03562859743788674,0.03880648958780512,-0.1016884512082536,0.02576181238950065,nhanes
1884,0.02730030356518744,0.09937564770410896,-0.1356509902578815,0.19189056391454457,gss
1888,0.00108272763567749,0.07108053188168957,-0.11452343894184058,0.118559601823716,gss
1892,-0.06157346602764496,0.06913031026626307,-0.175489143958884,0.05056141506796249,gss
1896,-0.0844678920274704,0.0484447669222568,-0.16411434521146073,-0.00508147784520158,gss
1900,-0.17185214575517355,0.04848862678223824,-0.2512447626653024,-0.0921206061930436,gss
1904,-0.13813484823303068,0.03904880039300022,-0.20105461291335375,-0.07392653910850151,gss
1908,-0.06789791131175046,0.03726572063201614,-0.1288210375710061,-0.00669436058790688,gss
1912,-0.077114031862662,0.03337645439494229,-0.13119081838908084,-0.02248051547044367,gss
1916,-0.06918593765442119,0.03773110104233393,-0.1315837321632949,-0.00748025474543029,gss
1920,0.00354177044051682,0.03095195737301818,-0.04673137829260256,0.05486458468825771,gss
1924,0.06757978748745622,0.03208567152018089,0.01521210698027481,0.1214192514624949,gss
1928,0.09574819705387666,0.02966989233316477,0.04776927332431281,0.14500970071058267,gss
1932,0.10703098112647765,0.03157150138383145,0.05546864951851608,0.1588911050303231,gss
1936,0.15298883655376835,0.02813786527147816,0.10678153848088072,0.19858225478408945,gss
1940,0.15604604323674326,0.02994843482426561,0.10731712784882044,0.2056024045272464,gss
1944,0.2009642922369476,0.02689727523102258,0.1570818361446301,0.2447388585867577,gss
1948,0.1529572885029878,0.02725728872126648,0.10857567404505385,0.1980032876853987,gss
1952,0.1277294284076194,0.02666686693635538,0.08398532621895105,0.17184667340495913,gss
1956,0.11138040767068266,0.02795989732119864,0.06597949954390878,0.1565791633535823,gss
1960,0.09925811997479736,0.02773581468950998,0.05366396590150685,0.14402784250002384,gss
1964,0.09839628092492,0.03060596482271956,0.04783847370418535,0.14860697489572108,gss
1968,0.06108837090963929,0.02913721096249036,0.01329275583287664,0.10893760779774846,gss
1972,0.01306432914213131,0.03102297467635734,-0.03797652185003426,0.06421963352521429,gss
1976,0.01573517805698351,0.03114360324265487,-0.03501123229388497,0.06706902494712648,gss
1980,0.00346374736768235,0.03544706631703161,-0.05461958746163688,0.06134876981243325,gss
1984,-0.06948596871480682,0.03393392919531075,-0.1254029670732812,-0.01390779505225932,gss
1988,-0.11014416563417977,0.03758906834273683,-0.17179493514208882,-0.04913653501586983,gss
1992,-0.13216839800384694,0.03877151623453052,-0.19604530150547228,-0.06910254789082657,gss
1996,-0.1162725345394556,0.04404168824322325,-0.18828070103442385,-0.04476030690849679,gss
2000,-0.180517554291762,0.05062540292203826,-0.26324312097923586,-0.09849030856481986,gss
2004,-0.20379999675743987,0.07163162307956157,-0.3228816343175169,-0.08728253140452907,gss
