cohort,estimate,std_error,ci_lower_90,ci_upper_90,model,start_year,end_year
1964,0.09839628092492,0.030605964822719565,0.047838473704185355,0.14860697489572108,Full (1972-2024),1972,2024
1968,0.06108837090963929,0.029137210962490365,0.013292755832876648,0.10893760779774846,Full (1972-2024),1972,2024
1972,0.013064329142131313,0.031022974676357343,-0.03797652185003426,0.06421963352521429,Full (1972-2024),1972,2024
1976,0.015735178056983518,0.031143603242654878,-0.035011232293884975,0.06706902494712648,Full (1972-2024),1972,2024
1980,0.0034637473676823573,0.03544706631703161,-0.054619587461636886,0.06134876981243325,Full (1972-2024),1972,2024
1984,-0.06948596871480682,0.033933929195310755,-0.1254029670732812,-0.01390779505225932,Full (1972-2024),1972,2024
1988,-0.11014416563417975,0.03758906834273683,-0.17179493514208882,-0.04913653501586983,Full (1972-2024),1972,2024
1992,-0.13216839800384694,0.038771516234530526,-0.19604530150547228,-0.06910254789082657,Full (1972-2024),1972,2024
1996,-0.11627253453945559,0.044041688243223256,-0.18828070103442382,-0.04476030690849679,Full (1972-2024),1972,2024
2000,-0.180517554291762,0.050625402922038265,-0.26324312097923586,-0.09849030856481986,Full (1972-2024),1972,2024
2004,-0.20379999675743987,0.07163162307956157,-0.3228816343175169,-0.08728253140452907,Full (1972-2024),1972,2024
NA,0.015679581220445563,0.004816794547330639,0.009409791655341698,0.02470109867485765,Full (1972-2024),1972,2024
1904,-0.04144820055348542,0.09523531998876643,-0.2004189786068318,0.11372396092451492,1994-2024,1994,2024
1908,-0.04369681624972244,0.06877691178578844,-0.15792549616593127,0.06865757068050596,1994-2024,1994,2024
1912,-0.15319220894552085,0.058490739429230956,-0.24784407774447076,-0.05757161225008607,1994-2024,1994,2024
1916,-0.13185325819119179,0.06094921138194973,-0.23227975147593746,-0.03239574987991952,1994-2024,1994,2024
1920,-0.09406281543940953,0.04800691401515799,-0.17148826033397743,-0.014239691748461873,1994-2024,1994,2024
1924,-0.016644776853723793,0.0482281293862815,-0.09486248030183404,0.06352116917612981,1994-2024,1994,2024
1928,0.03055762555258342,0.042239339673009,-0.036900390746222506,0.10201113184961277,1994-2024,1994,2024
1932,0.023757998538194727,0.041257916868402945,-0.04257605541367681,0.09195535413396315,1994-2024,1994,2024
1936,0.08659666265338486,0.03593820259319404,0.02968838588247503,0.14772696152485099,1994-2024,1994,2024
1940,0.08117633398097326,0.03845641324138948,0.01955073785074523,0.1461825902218052,1994-2024,1994,2024
1944,0.15255983035750695,0.03225667669747274,0.10207319541285557,0.20673742009945986,1994-2024,1994,2024
1948,0.1450400914748437,0.03208203953338575,0.09423145461314483,0.19871904238982413,1994-2024,1994,2024
1952,0.11512155461139513,0.029469140289464926,0.06808032352797393,0.16497277677682706,1994-2024,1994,2024
1956,0.12063034348319612,0.03072607476568522,0.07147984487067838,0.1726468530346925,1994-2024,1994,2024
1960,0.10544096181061327,0.029063720561171756,0.058888648207996594,0.15394010983900058,1994-2024,1994,2024
1964,0.10771214628170309,0.03263009269867934,0.0546024060258619,0.16206227685388294,1994-2024,1994,2024
1968,0.08595593565879484,0.030217468597270376,0.03715394718548364,0.13549904834857898,1994-2024,1994,2024
1972,0.02774825347437016,0.03216362580269613,-0.02438420439068581,0.08003448527399616,1994-2024,1994,2024
1976,0.034701019679118046,0.033570946089275,-0.020484550374717202,0.08858046179827862,1994-2024,1994,2024
1980,0.019033702030302718,0.03843966804503006,-0.0450402906538534,0.0824299783866205,1994-2024,1994,2024
1984,-0.04163278187716606,0.037959836678156576,-0.10358868919535133,0.02030439569344411,1994-2024,1994,2024
1988,-0.08161673195807094,0.04208394256274033,-0.15142086056945817,-0.012454756594084656,1994-2024,1994,2024
1992,-0.10135414512685069,0.04504109361203497,-0.17639236906003466,-0.028445433141326935,1994-2024,1994,2024
