age_group,year,variance,entropy,n_weighted
50-59,2006,1.043192553463241,1.4089400502219278,39199178.110185884
50-59,2007,1.0164562927305776,1.401817417019934,39257243.3156799
50-59,2008,0.9770897604890462,1.3836561714081772,40831583.667745
50-59,2009,0.9848626742986497,1.3889068623071497,41468805.075717025
50-59,2010,1.04995484848458,1.4133823657232185,42137966.53527485
50-59,2011,1.0278163834766796,1.4024726284277003,43583289.34806201
50-59,2012,1.0372557572307937,1.4058985794583143,43003747.689889096
50-59,2013,1.0497141384753876,1.410629561186084,43454787.09594894
50-59,2014,1.0790459709782503,1.4254387970498017,43902813.75570005
50-59,2015,1.0357475336212132,1.407886513538997,43556237.74853
50-59,2016,1.0217278698185492,1.4004657143120423,41793203.05883791
50-59,2017,0.9821533981528366,1.3833136766906684,41477909.65916102
50-59,2018,0.9797538619830759,1.3812039860075367,40337194.50770983
50-59,2019,1.0086552748512745,1.3924380609854223,40658159.07884883
50-59,2020,0.9334568860829284,1.3613916428265613,40209973.55727694
50-59,2021,0.9275627980093082,1.3591839512332038,40221868.6771479
50-59,2022,0.8742358074752616,1.3332871265024033,38813128.19594996
50-59,2023,0.8786648914907365,1.3328832087278257,40340434.8199129
60-69,2000,1.0231836910492706,1.4113067702542699,20074715.02233895
60-69,2001,1.0303428199607554,1.4139472520397596,21054734.281321928
60-69,2002,1.0185184698991583,1.4104381292818005,22239943.62863999
60-69,2003,1.0669523548427209,1.4263170452770824,23073618.375029955
60-69,2004,1.0598306371413642,1.4250234386774345,22845186.720158927
60-69,2005,1.0618559434077555,1.4253432820470575,23642284.137421966
60-69,2006,1.099414670245509,1.4401358529528285,25135956.167673994
60-69,2007,1.0183401903834095,1.4072928995583163,26924275.80767792
60-69,2008,1.0266809796393763,1.4121395690480123,28057054.12386795
60-69,2009,1.0507282581090385,1.4192193871451457,28229256.509049866
60-69,2010,1.0774196045207585,1.429434449309185,29836669.911642842
60-69,2011,1.014642136417172,1.4019246610365637,31178881.358886924
60-69,2012,1.0305789750301273,1.4099065196555298,32456049.24497791
60-69,2013,1.0390865720590905,1.415484118011823,33298911.783415914
60-69,2014,1.017474202031374,1.4052313881141612,34638393.42473786
60-69,2015,1.0311639719145878,1.409693006824217,35918830.00747805
60-69,2016,1.0140883673370065,1.4021697456662432,35986872.37286782
60-69,2017,1.0021713638022833,1.394808955397969,36135777.06353702
60-69,2018,1.0032424936929083,1.3976346957695933,36767490.42717994
60-69,2019,0.9412230517745844,1.367316219742682,36585180.9292279
60-69,2020,0.9706161738753224,1.3828655958399305,37575481.027239874
60-69,2021,0.9457752177429238,1.3705117167111407,38564091.1285739
60-69,2022,0.9335584841658381,1.363409232530541,37875683.930184804
60-69,2023,0.9840766661631066,1.3865119207599714,39921443.37360091
70-79,2000,0.9563722137615394,1.3871037161057838,15662569.501871971
70-79,2001,0.9746947993150132,1.395823193596738,15926421.120154964
70-79,2002,1.0082802125732675,1.4109889550785568,15865030.793854995
70-79,2003,1.0202738006959022,1.415428319558174,16475226.111903962
70-79,2004,0.9655787811510158,1.3914750196886905,16418316.899193976
70-79,2005,0.9904534916906247,1.4013680741662635,16445956.53326298
70-79,2006,0.9772057978374887,1.3952495813880421,15894136.008930013
70-79,2007,1.0196510232596994,1.413324496093744,15784206.041046977
70-79,2008,0.9200437284192726,1.3669914266120848,16037468.763412995
70-79,2009,0.9485482130367504,1.3815323078924937,15916434.947155012
70-79,2010,1.0220426377919,1.4130928479939537,16378720.245978968
70-79,2011,1.0085265034336308,1.4066441411548085,16698492.003623001
70-79,2012,0.9555463432104891,1.3842678775972441,18015563.470500976
70-79,2013,0.9876673319056216,1.398538543212394,18701555.096991997
70-79,2014,0.9987467545593525,1.4026896990485713,19347933.049760986
70-79,2015,0.9680676373829239,1.3869721226876608,20061651.508445986
70-79,2016,0.9606335186239021,1.3836652026372898,21331014.372836005
70-79,2017,1.0002445250870582,1.4012980268565693,22083724.224166907
70-79,2018,0.9586649486632663,1.380035787963637,23293035.93601995
70-79,2019,0.9416907688112739,1.3744446291695624,22959183.51333191
70-79,2020,0.922382374869759,1.3640903452389825,24216114.56254394
70-79,2021,0.8875633566828378,1.3461503384760514,24975597.254540965
70-79,2022,0.9075822330086144,1.3574905706947782,25136522.037797935
70-79,2023,0.8662479809454688,1.33386926838931,26711863.416345965
80-89,2000,1.0750809120456644,1.431141170883265,7189978.624932002
80-89,2001,0.9857897162150261,1.3987779692621836,8368654.230929998
80-89,2002,0.9788816954060019,1.3951070258804328,8814600.969498994
80-89,2003,0.9938618438760233,1.403108647432546,8798501.288612988
80-89,2004,1.1123327664713736,1.4514243913969174,8954163.664769994
80-89,2005,1.0405979025741576,1.424222373854476,9095779.065383004
80-89,2006,1.010292094099948,1.4070018560661297,9458928.349842995
80-89,2007,0.972877151966527,1.3939023274879077,9995025.591595009
80-89,2008,1.0083813916628979,1.4103103427368393,10389860.708782999
80-89,2009,1.0320813644596687,1.419857688466472,10732704.96050999
80-89,2010,0.9934114267809921,1.4026975620974564,10804547.51910399
80-89,2011,0.9802376273615768,1.396794866611748,10863356.099435981
80-89,2012,1.000191380313458,1.406642556515569,11136555.73503898
80-89,2013,1.0118126920793584,1.4026164810915644,11212222.16586801
