age_group,year,srh_cat,prop,se
30-39,2008,Very Good,0.3826757650176573,0.009920722230752736
30-39,2008,Excellent,0.24269721395814425,0.009902948849317385
30-39,2009,Poor,0.0142668544484823,0.001935437274626911
30-39,2009,Fair,0.06777215142314594,0.004563708634741976
30-39,2009,Good,0.2888840555749003,0.008182181994203811
30-39,2009,Very Good,0.4069493395467397,0.010041012481862477
30-39,2009,Excellent,0.22212759900899035,0.009189032489626839
30-39,2010,Poor,0.011944511476024487,0.0018228270542063074
30-39,2010,Fair,0.07713208984030327,0.005490174169302416
30-39,2010,Good,0.2887723713207408,0.010677128761660435
30-39,2010,Very Good,0.41315357345366216,0.009604101559473775
30-39,2010,Excellent,0.20899745391036836,0.009438734493724598
30-39,2011,Poor,0.011632907574358838,0.0020068071700418705
30-39,2011,Fair,0.08313343983097969,0.005411495598693702
30-39,2011,Good,0.29926981021131904,0.00821694764549101
30-39,2011,Very Good,0.3962377638364176,0.009111116976888935
30-39,2011,Excellent,0.20972607854762915,0.009060073520424065
30-39,2012,Poor,0.011001853779180396,0.0017639397041446497
30-39,2012,Fair,0.0914612205217679,0.005122712702104401
30-39,2012,Good,0.29341485105002374,0.008897981061854639
30-39,2012,Very Good,0.3812595793126223,0.010798114842511064
30-39,2012,Excellent,0.22286249533734132,0.009791930869630322
30-39,2013,Poor,0.014705173132117524,0.002195691672116565
30-39,2013,Fair,0.07772980169376494,0.00570261357142371
30-39,2013,Good,0.2853797770423496,0.009887348359237862
30-39,2013,Very Good,0.39959560027903723,0.01080355441164867
30-39,2013,Excellent,0.2225896478544443,0.009673991745422885
30-39,2014,Poor,0.009601889403952762,0.0023593008507551893
30-39,2014,Fair,0.06696098262151008,0.0047354380518141465
30-39,2014,Good,0.28291293515811866,0.01093113788146947
30-39,2014,Very Good,0.39194573941948613,0.011247384420884821
30-39,2014,Excellent,0.24857845341071205,0.009492481168781161
30-39,2015,Poor,0.008954225968429548,0.0020140485325328894
30-39,2015,Fair,0.0652658124742767,0.00483261013809965
30-39,2015,Good,0.28254315264896923,0.009830135465831323
30-39,2015,Very Good,0.39251996182271953,0.011744175211639027
30-39,2015,Excellent,0.25071684710046344,0.011312341844236478
30-39,2016,Poor,0.014459130236972616,0.00272819158676421
30-39,2016,Fair,0.0679766829108611,0.004978886640294672
30-39,2016,Good,0.27390238941405326,0.009321527246223451
30-39,2016,Very Good,0.4054051748813271,0.010458033367804279
30-39,2016,Excellent,0.23825662256233912,0.00958909766348972
30-39,2017,Poor,0.010871469802216344,0.0018985267351558416
30-39,2017,Fair,0.06508719521564457,0.004947566597721157
30-39,2017,Good,0.2551993189466608,0.00907025177973922
30-39,2017,Very Good,0.4047965716908015,0.011551590841703005
30-39,2017,Excellent,0.2640454443563421,0.009355285456274889
30-39,2018,Poor,0.010065888850000112,0.0020181979594667047
30-39,2018,Fair,0.051688716167943884,0.004519352016471125
30-39,2018,Good,0.2579498916988768,0.008544556214241225
30-39,2018,Very Good,0.4233665602365839,0.013031670407149882
30-39,2018,Excellent,0.25692894313612263,0.013259388841837473
30-39,2019,Poor,0.009014870682770031,0.0020972837699593395
30-39,2019,Fair,0.05693589434011527,0.005147754899840587
30-39,2019,Good,0.2431918545557187,0.009687673833231675
30-39,2019,Very Good,0.42981687582138084,0.012200401385639447
30-39,2019,Excellent,0.26104050475015766,0.011398825418741728
30-39,2020,Poor,0.006753010507396551,0.0019191375203823392
30-39,2020,Fair,0.05017783307599534,0.005725298827303966
30-39,2020,Good,0.26419127417661376,0.012226780737220236
30-39,2020,Very Good,0.4296815175164721,0.014874307590718179
30-39,2020,Excellent,0.24919636617750332,0.012476235719854541
30-39,2021,Poor,0.01036631301661063,0.0024258354430845277
30-39,2021,Fair,0.06682397860496933,0.007430376774181132
30-39,2021,Good,0.278361531531855,0.012819056664115005
30-39,2021,Very Good,0.41681806336445515,0.014350669075975929
30-39,2021,Excellent,0.2276301162579601,0.011803743323515583
30-39,2022,Poor,0.0062943136911358,0.0020898172509330854
30-39,2022,Fair,0.07457250185634975,0.009931405835581837
30-39,2022,Good,0.2472184511389476,0.017282141389944775
30-39,2022,Very Good,0.42499785861967637,0.017916092345056485
30-39,2022,Excellent,0.2469168746942756,0.01659618613152199
30-39,2023,Poor,0.006508346685167916,0.0021790058915341524
30-39,2023,Fair,0.06062403545332734,0.008780455048439977
30-39,2023,Good,0.28439147766642586,0.015061390740491567
30-39,2023,Very Good,0.4378210927573128,0.016403489436470027
30-39,2023,Excellent,0.21065504743789895,0.014094705675788945
40-49,2000,Poor,0.027545093068250547,0.0034614423077547274
40-49,2000,Fair,0.09857969000669084,0.006603521100882501
40-49,2000,Good,0.31440087266950856,0.01002815363698504
40-49,2000,Very Good,0.3853398753095216,0.012700291006729768
40-49,2000,Excellent,0.17413446907165234,0.008958907486054673
40-49,2001,Poor,0.023107750786343844,0.0022728157905753522
40-49,2001,Fair,0.10126912789185787,0.005575316595424136
40-49,2001,Good,0.3069063769454626,0.00885090173707321
40-49,2001,Very Good,0.39904304712189326,0.009538368774121677
40-49,2001,Excellent,0.16967369943485813,0.007711902248074262
40-49,2002,Poor,0.028478084876220736,0.002910809986576387
40-49,2002,Fair,0.10394067526594158,0.004649763302372296
40-49,2002,Good,0.301429340997078,0.007990008698814716
40-49,2002,Very Good,0.3830690570767923,0.008624122635315309
40-49,2002,Excellent,0.1830828424745207,0.008057999650261207
40-49,2003,Poor,0.0270303606216969,0.002592178179407646
40-49,2003,Fair,0.09106898551103693,0.005057067463058554
40-49,2003,Good,0.30526906316843033,0.008017789856932387
40-49,2003,Very Good,0.38348964182751394,0.009007912265395716
40-49,2003,Excellent,0.19314194887281205,0.007486937112746356
40-49,2004,Poor,0.02620003674384394,0.002623221963583119
40-49,2004,Fair,0.09868742512525856,0.005086019100926981
40-49,2004,Good,0.30562067756675804,0.00901837532112099
40-49,2004,Very Good,0.3752696012036494,0.009074996511138187
40-49,2004,Excellent,0.19422226094433387,0.008732152565952778
40-49,2005,Poor,0.027132177740130204,0.002692139587527314
40-49,2005,Fair,0.10275154913633976,0.006146402670527226
40-49,2005,Good,0.30234563088744504,0.008755673855428829
40-49,2005,Very Good,0.3840877204167177,0.009970271372982674
40-49,2005,Excellent,0.18368292221587038,0.00821786376834844
40-49,2006,Poor,0.027151204525975022,0.0024412108564290827
40-49,2006,Fair,0.10121917429820239,0.005112493210154988
40-49,2006,Good,0.3147831748860275,0.009681597689737512
40-49,2006,Very Good,0.3817622620894133,0.010382015638462305
40-49,2006,Excellent,0.1750841850302868,0.007897323317058834
40-49,2007,Poor,0.025359424632971004,0.0025480928620731425
40-49,2007,Fair,0.08673935091170308,0.00534948244751255
40-49,2007,Good,0.31207793247675136,0.009641266027537291
40-49,2007,Very Good,0.3941867530125948,0.010591941706131435
40-49,2007,Excellent,0.1816365389684678,0.008295368454965578
40-49,2008,Poor,0.025692780500257903,0.002889050496787098
40-49,2008,Fair,0.11092910969068079,0.006769227401651016
40-49,2008,Good,0.309785325910089,0.010003302203623714
40-49,2008,Very Good,0.3744277602604035,0.010094109835174
40-49,2008,Excellent,0.17916502367739146,0.007851166943663545
40-49,2009,Poor,0.02577226168650833,0.0028196550333267584
40-49,2009,Fair,0.10620357436133109,0.0056864704551645015
40-49,2009,Good,0.31028557232153947,0.009136335622862427
40-49,2009,Very Good,0.38356323387188707,0.009158595805226892
40-49,2009,Excellent,0.17417535817817037,0.006510005163712344
40-49,2010,Poor,0.027537431995564188,0.0030167627664787915
40-49,2010,Fair,0.10021361327790525,0.005485387541663786
40-49,2010,Good,0.3117369338750915,0.010706243250414506
40-49,2010,Very Good,0.37518028759584615,0.01080726913696322
40-49,2010,Excellent,0.18533173416965903,0.00826843586939001
40-49,2011,Poor,0.024431657285398284,0.002811674353464896
40-49,2011,Fair,0.12278744325701156,0.006914781254441622
40-49,2011,Good,0.31591297848070476,0.00847759564983937
40-49,2011,Very Good,0.3725818653324808,0.01025298235847242
40-49,2011,Excellent,0.16428605565419052,0.008033283483262196
40-49,2012,Poor,0.02348453054293879,0.002772472496371507
40-49,2012,Fair,0.11081715563429678,0.006697121522362904
40-49,2012,Good,0.31307123125529523,0.010165572962594216
40-49,2012,Very Good,0.37662905781770606,0.01080425928533404
40-49,2012,Excellent,0.1759980249730722,0.008362365176656
40-49,2013,Poor,0.02466797221769121,0.0030905623583588407
40-49,2013,Fair,0.09764702011495889,0.006248909776858352
40-49,2013,Good,0.31717514974687006,0.009923148913722285
40-49,2013,Very Good,0.3836812677684831,0.010595858776534479
40-49,2013,Excellent,0.1768285922674998,0.008194912407113761
