srh_cat,year,age_group,prop,se
Good,2004,70-79,0.09825848259110401,0.004901992951358818
Good,2004,80-89,0.04989674694997437,0.003507613869471242
Good,2005,18-29,0.1720714798276503,0.006502715302300194
Good,2005,30-39,0.15974707418213338,0.005231725784455432
Good,2005,40-49,0.19858589898684148,0.005951365764216187
Good,2005,50-59,0.1998242924534541,0.005940544511443182
Good,2005,60-69,0.12031874639986119,0.005657923011657327
Good,2005,70-79,0.0974608940798306,0.005043583566935331
Good,2005,80-89,0.05199161595666434,0.00355641107632693
Good,2006,18-29,0.1752456342696836,0.00658828047409211
Good,2006,30-39,0.16535941057070047,0.0058098864884049695
Good,2006,40-49,0.2036602872544028,0.005933102023432328
Good,2006,50-59,0.18878885243081983,0.005731088166315781
Good,2006,60-69,0.1259470359517739,0.0052265539424391294
Good,2006,70-79,0.08713826250694415,0.004678306345181527
Good,2006,80-89,0.05386051722531356,0.00365037553419123
Good,2007,18-29,0.16076755888838015,0.006405551008207624
Good,2007,30-39,0.1763628765013968,0.006156356453964023
Good,2007,40-49,0.19369051466633114,0.00648468848124226
Good,2007,50-59,0.19024019504349315,0.006573975440344596
Good,2007,60-69,0.13842432355842005,0.006093461524995019
Good,2007,70-79,0.08544820463750728,0.0045524488852813376
Good,2007,80-89,0.055066326728572576,0.0038323138969035726
Good,2008,18-29,0.15416717839834337,0.005928953577133918
Good,2008,30-39,0.1653551657539503,0.005485475707164911
Good,2008,40-49,0.1875829421090166,0.007239770894349135
Good,2008,50-59,0.20081877468853582,0.006395461897735497
Good,2008,60-69,0.14273420571958495,0.006782446355915074
Good,2008,70-79,0.09393186654135276,0.00508573734220304
Good,2008,80-89,0.055409870825877915,0.004522894305149185
Good,2009,18-29,0.1734268831610985,0.006427947352402387
Good,2009,30-39,0.15977729019099426,0.005875086324754222
Good,2009,40-49,0.18391236089129534,0.00546623685217476
Good,2009,50-59,0.20090526738640646,0.005782974155183421
Good,2009,60-69,0.13818661733897253,0.005759669735685167
Good,2009,70-79,0.08987109721588048,0.004822689408702301
Good,2009,80-89,0.05392048391380543,0.004104784213832313
Good,2010,18-29,0.16924566120966375,0.007023626974064089
Good,2010,30-39,0.16357518903334478,0.006775323078993588
Good,2010,40-49,0.18127726208554665,0.0063022224219641985
Good,2010,50-59,0.19684912789859585,0.0070674097113387156
Good,2010,60-69,0.14159642721728394,0.0067249532078903764
Good,2010,70-79,0.08959519414513174,0.0051024729949788634
Good,2010,80-89,0.057861140765749886,0.0041010444116254315
Good,2011,18-29,0.15546315466239807,0.0059968951023517715
Good,2011,30-39,0.1672500350379864,0.005398272069998722
Good,2011,40-49,0.17727011308424404,0.005345603053489259
Good,2011,50-59,0.20314832279632974,0.007128746146388287
Good,2011,60-69,0.14125492299376358,0.005711624774491318
Good,2011,70-79,0.09324870062243051,0.00533063739157603
Good,2011,80-89,0.062364755221803986,0.004866338239070081
Good,2012,18-29,0.16162155204293943,0.006456242078322727
Good,2012,30-39,0.16480625475033128,0.005643313342901158
Good,2012,40-49,0.17241444569991157,0.006381275928516474
Good,2012,50-59,0.19238099412537138,0.006113146367791057
Good,2012,60-69,0.15181147357256605,0.005748564697145319
Good,2012,70-79,0.09648167251070079,0.005042891546793448
Good,2012,80-89,0.06048361036706132,0.00463517316205877
Good,2013,18-29,0.15222134377091961,0.00649753985535647
Good,2013,30-39,0.16756610944944317,0.006128959350679597
Good,2013,40-49,0.17572066744164455,0.006247136896767345
Good,2013,50-59,0.19284140083375492,0.007139294761213155
Good,2013,60-69,0.1584537134227781,0.006191865476123163
Good,2013,70-79,0.10040727304418115,0.005605049286270339
Good,2013,80-89,0.052789496317193464,0.004274208577120553
Good,2014,18-29,0.15149725595829922,0.005909055890717784
Good,2014,30-39,0.161314262614247,0.007289107670853423
Good,2014,40-49,0.16520621875759314,0.0057157164721975675
Good,2014,50-59,0.20051946654585742,0.006547345263530634
Good,2014,60-69,0.1612182199086116,0.006647758732397519
Good,2014,70-79,0.0980279398522517,0.005747486827216782
Good,2014,80-89,0.06221663664566692,0.004551299614792688
Good,2015,18-29,0.15099652107974218,0.006467450124658913
Good,2015,30-39,0.1578902804896052,0.0063111677754625825
Good,2015,40-49,0.16876357488846816,0.006258655693917046
Good,2015,50-59,0.19308121323136843,0.006824286727447008
Good,2015,60-69,0.16644521733439888,0.006640684412391743
Good,2015,70-79,0.09723745804338357,0.00517120150156326
Good,2015,80-89,0.06558573557441624,0.00455791842909803
Good,2016,18-29,0.15032724840762318,0.006826622391338658
Good,2016,30-39,0.15845976866152275,0.00667262829270342
Good,2016,40-49,0.168528269406795,0.006902994250215868
Good,2016,50-59,0.18320450037725255,0.006503708952249825
Good,2016,60-69,0.1641703609581459,0.006078079778705802
Good,2016,70-79,0.11195740262476145,0.005031490017409901
Good,2016,80-89,0.06335244957939565,0.004328725046158654
Good,2017,18-29,0.14336948464157442,0.00613688340080428
Good,2017,30-39,0.1474829573736586,0.005807676151748142
