"age","estimate","ci_lower_90","ci_upper_90","model","estimate_centered","ci_lower_centered","ci_upper_centered"
28,3.29174283714047,3.26205784376446,3.32187225371668,"M2: Period Smooth",-0.00727145493995929,0.00823528122490691,-0.022431722555579
29,3.28424757631971,3.25565503016663,3.31334944627151,"M2: Period Smooth",-0.0147667157607221,0.00183246762708089,-0.0309545300007459
30,3.27519974728518,3.24775968758926,3.30317658440561,"M2: Period Smooth",-0.0238145447952482,-0.00606287495028779,-0.0411273918666493
31,3.26482206017525,3.23862177775493,3.29171687027994,"M2: Period Smooth",-0.0341922319051737,-0.0152007847846227,-0.0525871059923193
32,3.2533372251283,3.22805812984252,3.27945465821384,"M2: Period Smooth",-0.0456770669521327,-0.0257644326970361,-0.0648493180584144
33,3.24096795228267,3.21618209117089,3.26690906787027,"M2: Period Smooth",-0.0580463397977606,-0.0376404713686607,-0.0773949084019843
34,3.22793695177674,3.20342681104287,3.25375616769677,"M2: Period Smooth",-0.0710773403036917,-0.0503957514966786,-0.0905478085754821
35,3.21446693374887,3.18989292122898,3.24002534322222,"M2: Period Smooth",-0.0845473583315619,-0.0639296413105725,-0.104278633050035
36,3.20078060833742,3.17636078324278,3.22625951129594,"M2: Period Smooth",-0.0982336837430058,-0.077461779296776,-0.118044464976319
37,3.18705755370764,3.16317513162584,3.2119578318604,"M2: Period Smooth",-0.111956738372791,-0.0906474309137111,-0.132346144411858
38,3.17330482013221,3.15018874907785,3.1976063630761,"M2: Period Smooth",-0.125709471948221,-0.103633813461701,-0.146697613196159
39,3.1594863259107,3.13703466283039,3.18302519059498,"M2: Period Smooth",-0.139527966169728,-0.116787899709164,-0.161278785677279
40,3.14556598934268,3.12344673532762,3.16850838189541,"M2: Period Smooth",-0.15344830273775,-0.130375827211934,-0.17579559437685
41,3.13150772872771,3.10944056875446,3.15411192180613,"M2: Period Smooth",-0.16750656335272,-0.144381993785095,-0.190192054466131
42,3.11727546236535,3.09501048494282,3.13998306831091,"M2: Period Smooth",-0.181738829715075,-0.158812077596735,-0.204320907961347
43,3.10283310855518,3.07965844781787,3.12620596938182,"M2: Period Smooth",-0.196181183525248,-0.17416411472168,-0.218098006890434
44,3.08814458559675,3.06419253380316,3.1119170146491,"M2: Period Smooth",-0.210869706483674,-0.189630028736396,-0.232386961623157
