"period","estimate","std_error","ci_lower_90","ci_upper_90","model","type"
2007,-0.0217178709941111,0.0150563525423816,-0.0471485940848413,0.0015569147249083,"M3: Cohort Smooth","random"
2011,-0.0119537329365032,0.0149216928074808,-0.0365561525294469,0.0121136189992081,"M3: Cohort Smooth","random"
2015,-0.0261869575334343,0.0155421505982113,-0.0528947569439326,-0.00214912669489183,"M3: Cohort Smooth","random"
2019,0.0141019618632103,0.0144944016344167,-0.00925416944270026,0.0380898842716938,"M3: Cohort Smooth","random"
2023,-0.0113753000032572,0.0164433823702893,-0.0388734636151697,0.0147607578673883,"M3: Cohort Smooth","random"
NA,0.000674518249687746,0.000457015697567449,0.000207396688163371,0.00152338010971762,"M3: Cohort Smooth","random"
1971,-0.0150394578938857,NA,-0.0542693956179257,0.024485563266023,"M2: Period Smooth","spline"
1972.0612244898,-0.0203740857583705,NA,-0.0576304434139021,0.0168978935776725,"M2: Period Smooth","spline"
1973.12244897959,-0.0254760382956638,NA,-0.0607157009672661,0.0104368770215877,"M2: Period Smooth","spline"
1974.18367346939,-0.0301126401785723,NA,-0.0640733033494021,0.00458613780501338,"M2: Period Smooth","spline"
1975.24489795918,-0.0340512160799045,NA,-0.0671685411003358,-8.12434635966142e-06,"M2: Period Smooth","spline"
1976.30612244898,-0.0370590906724679,NA,-0.069781687558788,-0.00350581925360016,"M2: Period Smooth","spline"
1977.36734693878,-0.0389035886290712,NA,-0.0713725603934594,-0.00566250134957436,"M2: Period Smooth","spline"
1978.42857142857,-0.0393520346225209,NA,-0.0715165972669847,-0.0063952083508223,"M2: Period Smooth","spline"
1979.48979591837,-0.038180658775143,NA,-0.069861455440118,-0.00566408369269533,"M2: Period Smooth","spline"
1980.55102040816,-0.0354128586622977,NA,-0.066417264358352,-0.00359224144600878,"M2: Period Smooth","spline"
1981.61224489796,-0.0313452972269403,NA,-0.0615140385759312,-0.000712301152121508,"M2: Period Smooth","spline"
1982.67346938776,-0.0262887789360273,NA,-0.0557653948725152,0.00308685342205672,"M2: Period Smooth","spline"
1983.73469387755,-0.020554108256515,NA,-0.0489848790346361,0.00786301660478461,"M2: Period Smooth","spline"
1984.79591836735,-0.0144520896553599,NA,-0.0421138039205173,0.0130025517742873,"M2: Period Smooth","spline"
1985.85714285714,-0.00829352759951796,NA,-0.0354730389505398,0.018746213504361,"M2: Period Smooth","spline"
1986.91836734694,-0.00238922655594642,NA,-0.0291927585406815,0.0238890380926873,"M2: Period Smooth","spline"
1987.97959183673,0.00295000900839915,NA,-0.0237066056242101,0.0290746848983896,"M2: Period Smooth","spline"
1989.04081632653,0.00741337462656189,NA,-0.0190570635083169,0.0333748315438096,"M2: Period Smooth","spline"
1990.10204081633,0.0106900658315854,NA,-0.0157835901794394,0.0366851645330262,"M2: Period Smooth","spline"
1991.16326530612,0.0124695966797295,NA,-0.0138104496842937,0.0382601789043835,"M2: Period Smooth","spline"
1992.22448979592,0.0125745841162739,NA,-0.0132116725301228,0.0380205901620183,"M2: Period Smooth","spline"
1993.28571428571,0.0111660760038386,NA,-0.0142055179977256,0.0363210873647999,"M2: Period Smooth","spline"
1994.34693877551,0.00845811450515743,NA,-0.016504332265455,0.0329895779860951,"M2: Period Smooth","spline"
1995.40816326531,0.00466474178296661,NA,-0.0199019244548726,0.0288025439226964,"M2: Period Smooth","spline"
1996.4693877551,0,NA,-0.024394426678314,0.0241151836012414,"M2: Period Smooth","spline"
1997.5306122449,-0.00532206868100848,NA,-0.029508897099964,0.018876166404469,"M2: Period Smooth","spline"
1998.59183673469,-0.0110874220973214,NA,-0.0355491428820822,0.0135245721252151,"M2: Period Smooth","spline"
1999.65306122449,-0.0170820180862052,NA,-0.0419476848210016,0.00806479379279423,"M2: Period Smooth","spline"
2000.71428571429,-0.0230918144849248,NA,-0.0482909891327443,0.0026718936850072,"M2: Period Smooth","spline"
2001.77551020408,-0.0289027691307457,NA,-0.0545370161409711,-0.00240307975290444,"M2: Period Smooth","spline"
2002.83673469388,-0.0343008398609328,NA,-0.0603530794772711,-0.00733344702559924,"M2: Period Smooth","spline"
2003.89795918367,-0.0390969909526691,NA,-0.0654104161658355,-0.0118124199893748,"M2: Period Smooth","spline"
2004.95918367347,-0.0432618822047783,NA,-0.0697589801617324,-0.0155974381108197,"M2: Period Smooth","spline"
2006.02040816327,-0.0468289807253583,NA,-0.0734401324609002,-0.018877134425253,"M2: Period Smooth","spline"
2007.08163265306,-0.0498319039241761,NA,-0.0767291529348397,-0.0218054397095799,"M2: Period Smooth","spline"
2008.14285714286,-0.0523042692109983,NA,-0.0797721167662608,-0.0239506716953906,"M2: Period Smooth","spline"
2009.20408163265,-0.0542796939955901,NA,-0.0827139205356455,-0.02570110611601,"M2: Period Smooth","spline"
2010.26530612245,-0.0557917956877185,NA,-0.0850435993637459,-0.026278509619686,"M2: Period Smooth","spline"
2011.32653061224,-0.0568741916971498,NA,-0.0871749043097099,-0.0262729836426576,"M2: Period Smooth","spline"
2012.38775510204,-0.0575604994336496,NA,-0.0887843885656405,-0.026070265674333,"M2: Period Smooth","spline"
2013.44897959184,-0.057884336306985,NA,-0.0898375218327248,-0.0257868466387468,"M2: Period Smooth","spline"
2014.51020408163,-0.0578793197269212,NA,-0.0904478358516547,-0.0252910995274607,"M2: Period Smooth","spline"
2015.57142857143,-0.057579157871154,NA,-0.0905660198683722,-0.0247467423077588,"M2: Period Smooth","spline"
2016.63265306122,-0.0570193128818914,NA,-0.0902687044768316,-0.0239798619156133,"M2: Period Smooth","spline"
2017.69387755102,-0.0562368333553662,NA,-0.0895175642719286,-0.0228018854147152,"M2: Period Smooth","spline"
2018.75510204082,-0.0552688250477891,NA,-0.0887497080553548,-0.0214750028560791,"M2: Period Smooth","spline"
2019.81632653061,-0.0541523937153703,NA,-0.0886824701445543,-0.0193929248808713,"M2: Period Smooth","spline"
2020.87755102041,-0.0529246451143202,NA,-0.0886852552227628,-0.0165960542878105,"M2: Period Smooth","spline"
2021.9387755102,-0.051622685000849,NA,-0.0895333907315861,-0.013488357625715,"M2: Period Smooth","spline"
2023,-0.0502836191311675,NA,-0.0909496860658701,-0.00953385760941616,"M2: Period Smooth","spline"
1971,0.031279660592141,NA,-0.0549015382296081,0.113888036215007,"M4: Both Smooth","spline"
1972.0612244898,0.0236564597301854,NA,-0.0586197044427061,0.102855823643337,"M4: Both Smooth","spline"
1973.12244897959,0.0162704763926627,NA,-0.0626177505913676,0.0919282039957472,"M4: Both Smooth","spline"
1974.18367346939,0.00935892810400674,NA,-0.0663539103237971,0.0817258182481644,"M4: Both Smooth","spline"
1975.24489795918,0.00315903238865056,NA,-0.0694536059989659,0.0725270386619452,"M4: Both Smooth","spline"
1976.30612244898,-0.00209199322897202,NA,-0.0716926640136162,0.0643563857757714,"M4: Both Smooth","spline"
1977.36734693878,-0.00615693122442806,NA,-0.0726409052681469,0.0573469368631327,"M4: Both Smooth","spline"
1978.42857142857,-0.00879856407328417,NA,-0.0719814687102405,0.0520234353985809,"M4: Both Smooth","spline"
1979.48979591837,-0.00978861049796054,NA,-0.0700197325790834,0.0483874647211326,"M4: Both Smooth","spline"
