"cohort","estimate","std_error","ci_lower_90","ci_upper_90","model","type"
1968,0.0704973832684491,0.0308772827491132,0.0213841884391095,0.122177811843607,"M2: Period Smooth","random"
1972,0.027797803398561,0.0330518619077769,-0.0263674618769676,0.0825057319526697,"M2: Period Smooth","random"
1976,0.0241994141713243,0.0343619960159391,-0.0313003110547476,0.081520504049914,"M2: Period Smooth","random"
1980,0.0153708335548841,0.0384832371592324,-0.0466669269096677,0.0795714959680174,"M2: Period Smooth","random"
1984,-0.0637792573648411,0.038522799587956,-0.125881675270668,0.00114114235062045,"M2: Period Smooth","random"
1988,-0.0979363788491066,0.0424162102525749,-0.166810722397179,-0.0268440354702508,"M2: Period Smooth","random"
1992,-0.116296553001053,0.04426432867206,-0.188196494873337,-0.0428923121432549,"M2: Period Smooth","random"
1996,-0.0734094206896429,0.0489838376225881,-0.153128676636366,0.00823058572221802,"M2: Period Smooth","random"
2000,-0.10959412036006,0.0554191455292865,-0.201029607456138,-0.0180820278323128,"M2: Period Smooth","random"
2004,-0.138453075822102,0.0730317384594237,-0.258692661958735,-0.0187135745403859,"M2: Period Smooth","random"
NA,0.0153150074678294,0.00478062277880236,0.00919686614192941,0.0240734578946287,"M2: Period Smooth","random"
1884,-0.300680569020158,NA,-0.405500537434097,-0.195061320252254,"M3: Cohort Smooth","spline"
1886.44897959184,-0.302042991257952,NA,-0.39895293566355,-0.204266525164002,"M3: Cohort Smooth","spline"
1888.89795918367,-0.303122661196641,NA,-0.392302343359379,-0.213588571270725,"M3: Cohort Smooth","spline"
1891.34693877551,-0.303636826537117,NA,-0.385129774213372,-0.221913924967378,"M3: Cohort Smooth","spline"
1893.79591836735,-0.303302734980277,NA,-0.378963311107372,-0.228144643666748,"M3: Cohort Smooth","spline"
1896.24489795918,-0.301837634227015,NA,-0.372166688352098,-0.232430576702766,"M3: Cohort Smooth","spline"
1898.69387755102,-0.298958771978224,NA,-0.364144042403877,-0.234052172513087,"M3: Cohort Smooth","spline"
1901.14285714286,-0.294383395934799,NA,-0.355769684051715,-0.232920674101995,"M3: Cohort Smooth","spline"
1903.59183673469,-0.287828753797635,NA,-0.346961133697052,-0.229080312167698,"M3: Cohort Smooth","spline"
1906.04081632653,-0.279012093267626,NA,-0.335966087591977,-0.22270714417119,"M3: Cohort Smooth","spline"
1908.48979591837,-0.267650662045667,NA,-0.322473460519961,-0.213250873988641,"M3: Cohort Smooth","spline"
1910.9387755102,-0.25346170783265,NA,-0.306630246894712,-0.200681103710791,"M3: Cohort Smooth","spline"
1913.38775510204,-0.236162478329472,NA,-0.287715458351716,-0.185025923744584,"M3: Cohort Smooth","spline"
