age_group,year,srh_cat,prop,se,survey
80-89,2010,Very Good,0.16576866186846803,0.005731536804540783,CPS
80-89,2010,Excellent,0.06616289414983656,0.0037802734041773637,CPS
80-89,2011,Poor,0.13729999878427965,0.005132732450063742,CPS
80-89,2011,Fair,0.25820834825705896,0.006614721909732867,CPS
80-89,2011,Good,0.3571143753112525,0.007282035309824868,CPS
80-89,2011,Very Good,0.1837830254852938,0.005880982825792755,CPS
80-89,2011,Excellent,0.06359425217807545,0.0037152546588231404,CPS
80-89,2012,Poor,0.13880752291612014,0.005169025324731182,CPS
80-89,2012,Fair,0.24961740234084437,0.006534210977352944,CPS
80-89,2012,Good,0.3534743026305891,0.007298019714492894,CPS
80-89,2012,Very Good,0.19202924929075105,0.0060666612094299795,CPS
80-89,2012,Excellent,0.06607152341852494,0.0037987067033707967,CPS
80-89,2013,Poor,0.121509228458718,0.00492294410687413,CPS
80-89,2013,Fair,0.2536391801240192,0.00664530473783658,CPS
80-89,2013,Good,0.35937785761751456,0.007388159107719478,CPS
80-89,2013,Very Good,0.19729257183714125,0.006170590302160906,CPS
80-89,2013,Excellent,0.06818116198492416,0.0038594706413796727,CPS
80-89,2014,Poor,0.1251286492400145,0.005415106848606898,CPS
80-89,2014,Fair,0.2524926621445066,0.007279957764498376,CPS
80-89,2014,Good,0.36570460917091013,0.008217992644203613,CPS
80-89,2014,Very Good,0.18316633361633733,0.0064020771647957326,CPS
80-89,2014,Excellent,0.07350774679048068,0.004539914335187428,CPS
80-89,2015,Poor,0.11672642693060009,0.004737283374177039,CPS
80-89,2015,Fair,0.25468135856482776,0.006485379385996206,CPS
80-89,2015,Good,0.3400736359169424,0.007120009914767588,CPS
80-89,2015,Very Good,0.21480515973663805,0.006319960080177917,CPS
80-89,2015,Excellent,0.07371341887883753,0.003958827425767302,CPS
80-89,2016,Poor,0.11837194681743711,0.004968625133410475,CPS
80-89,2016,Fair,0.23737564380654222,0.006646121974410023,CPS
80-89,2016,Good,0.3571583443081829,0.007516201854464558,CPS
80-89,2016,Very Good,0.21226154791338842,0.006495522291154529,CPS
80-89,2016,Excellent,0.07483251723928444,0.004174384853864019,CPS
80-89,2017,Poor,0.11699783338950705,0.004903529836954345,CPS
80-89,2017,Fair,0.24251663433632162,0.006553149177885397,CPS
80-89,2017,Good,0.34349233602897905,0.007316672622895862,CPS
80-89,2017,Very Good,0.21423936201558935,0.006385564656691224,CPS
80-89,2017,Excellent,0.08275383606871174,0.004302846995460133,CPS
80-89,2018,Poor,0.1068128994305431,0.00467340058095846,CPS
80-89,2018,Fair,0.24665732754687536,0.0065184292182721175,CPS
80-89,2018,Good,0.3552240139049525,0.007296754543393528,CPS
80-89,2018,Very Good,0.2162336071235286,0.006360743367163713,CPS
80-89,2018,Excellent,0.07507215207267251,0.003993039521772949,CPS
80-89,2019,Poor,0.11315157089832678,0.004721255696132514,CPS
80-89,2019,Fair,0.2431591830621785,0.006417108237914754,CPS
80-89,2019,Good,0.34759772863441346,0.007234942257608436,CPS
80-89,2019,Very Good,0.21335869566855611,0.0062830589901762615,CPS
80-89,2019,Excellent,0.08273282343623574,0.0042622969858116784,CPS
80-89,2020,Poor,0.09498317298950734,0.004469730644639231,CPS
80-89,2020,Fair,0.24914037610178102,0.006698163997169433,CPS
80-89,2020,Good,0.3612004339315653,0.007442192859944286,CPS
80-89,2020,Very Good,0.21520277563446338,0.0064444652797212365,CPS
80-89,2020,Excellent,0.07947324149823312,0.004270509531231042,CPS
80-89,2021,Poor,0.09347466522666517,0.004375459237449992,CPS
80-89,2021,Fair,0.23643362173992247,0.006430871411727826,CPS
80-89,2021,Good,0.37902287973561866,0.0073755110309189995,CPS
80-89,2021,Very Good,0.22075915791304054,0.00634434201613217,CPS
80-89,2021,Excellent,0.07030967557438224,0.0038564822535423764,CPS
80-89,2022,Poor,0.0954511510341883,0.004500515921920507,CPS
80-89,2022,Fair,0.24362165279533654,0.006647468930370122,CPS
80-89,2022,Good,0.3634870876678672,0.007450058368478881,CPS
80-89,2022,Very Good,0.22124403923132663,0.006525874010609792,CPS
80-89,2022,Excellent,0.07619606948392732,0.004166465292882746,CPS
80-89,2023,Poor,0.09910742381525081,0.004559881263829379,CPS
80-89,2023,Fair,0.23262494396859343,0.006452679141042135,CPS
80-89,2023,Good,0.3695654542886043,0.007413500069783524,CPS
80-89,2023,Very Good,0.228188460509219,0.0065365677177411955,CPS
80-89,2023,Excellent,0.0705137177258178,0.003979378879032791,CPS
80-89,2024,Poor,0.09474758019216666,0.004484480760294147,CPS
80-89,2024,Fair,0.24109250081008457,0.006520276875223263,CPS
80-89,2024,Good,0.3598119288106797,0.007358145383345248,CPS
80-89,2024,Very Good,0.23308635790000667,0.00649683292030524,CPS
80-89,2024,Excellent,0.07126163252869624,0.00399009108330897,CPS
80-89,2025,Poor,0.09902050076588252,0.004517294402486241,CPS
80-89,2025,Fair,0.23094976389641622,0.006395976426664184,CPS
80-89,2025,Good,0.3622646323187246,0.007370154656574443,CPS
80-89,2025,Very Good,0.2207790846714216,0.006409739763476281,CPS
80-89,2025,Excellent,0.08698601886816072,0.004338591851595774,CPS
18-29,1999.5,Poor,0.007586367563050565,0.0039642983881417685,NHANES
18-29,1999.5,Fair,0.09121867567398759,0.013538492950442016,NHANES
18-29,1999.5,Good,0.27585959821971634,0.017863822943497885,NHANES
18-29,1999.5,Very Good,0.3594269975814574,0.024163118490362664,NHANES
18-29,1999.5,Excellent,0.26590836113447835,0.01786725136504782,NHANES
18-29,2001.5,Poor,0.012358032620265582,0.004778529338222525,NHANES
18-29,2001.5,Fair,0.09904545548442631,0.009027352082326521,NHANES
18-29,2001.5,Good,0.29931662660803726,0.01832367860987362,NHANES
18-29,2001.5,Very Good,0.33578379916746054,0.014313361345606925,NHANES
18-29,2001.5,Excellent,0.253496086331646,0.018740123106070438,NHANES
18-29,2003.5,Poor,0.006890782155281969,0.002833441259909676,NHANES
18-29,2003.5,Fair,0.09497555824843934,0.009599316504123106,NHANES
18-29,2003.5,Good,0.2970379649215266,0.013899963269692025,NHANES
18-29,2003.5,Very Good,0.342345742666349,0.017916304512827115,NHANES
18-29,2003.5,Excellent,0.2587499526841014,0.016254805102071532,NHANES
18-29,2005.5,Poor,0.012138119490542908,0.0038480253807620796,NHANES
18-29,2005.5,Fair,0.0934123772022167,0.009534138159688748,NHANES
18-29,2005.5,Good,0.33070132476159775,0.019487218517844507,NHANES
18-29,2005.5,Very Good,0.35701810417495816,0.017759325704834784,NHANES
18-29,2005.5,Excellent,0.20673007605996135,0.015323188024297513,NHANES
18-29,2007.5,Poor,0.008970524647220916,0.0023553252917786795,NHANES
18-29,2007.5,Fair,0.106788345056625,0.010175582326622669,NHANES
18-29,2007.5,Good,0.3151877685544634,0.020085113175433517,NHANES
18-29,2007.5,Very Good,0.35084360302323436,0.021957085346875842,NHANES
18-29,2007.5,Excellent,0.2182097587842988,0.021610002178301346,NHANES
18-29,2009.5,Poor,0.008881733461682886,0.004049669107858004,NHANES
18-29,2009.5,Fair,0.08409388568555733,0.010202987010198422,NHANES
18-29,2009.5,Good,0.3507663530537798,0.01750848961656235,NHANES
18-29,2009.5,Very Good,0.3616317368597532,0.018122426384429836,NHANES
18-29,2009.5,Excellent,0.19462629094615758,0.014308922185322955,NHANES
18-29,2011.5,Poor,0.01187503037933053,0.004048990621438821,NHANES
18-29,2011.5,Fair,0.08463758975917071,0.01391731694374646,NHANES
18-29,2011.5,Good,0.3551054804069041,0.025736538124396423,NHANES
18-29,2011.5,Very Good,0.33395666224116755,0.026850325529272474,NHANES
18-29,2011.5,Excellent,0.2144252373221803,0.01564808949235595,NHANES
18-29,2013.5,Poor,0.010060734190057465,0.002363750477997536,NHANES
18-29,2013.5,Fair,0.08233833840543169,0.008404129167734446,NHANES
18-29,2013.5,Good,0.3894343860944192,0.015868509988503966,NHANES
18-29,2013.5,Very Good,0.34667394508853877,0.016998580295099115,NHANES
18-29,2013.5,Excellent,0.17149259622310717,0.011873746364385656,NHANES
18-29,2015.5,Poor,0.015678117078484658,0.005188106774621885,NHANES
18-29,2015.5,Fair,0.10236212488822805,0.011005806796098805,NHANES
18-29,2015.5,Good,0.349591966043779,0.020628157385788114,NHANES
18-29,2015.5,Very Good,0.3625376836842537,0.025463481306154303,NHANES
18-29,2015.5,Excellent,0.16983010915034422,0.015712173338344144,NHANES
18-29,2017.5,Poor,0.01110038782156993,0.0044145034258676425,NHANES
18-29,2017.5,Fair,0.12864313651832515,0.011999386035271696,NHANES
18-29,2017.5,Good,0.34640251761465785,0.023627200293734687,NHANES
18-29,2017.5,Very Good,0.3360063956489907,0.020487837459181587,NHANES
18-29,2017.5,Excellent,0.17784756280046685,0.028559183861410133,NHANES
18-29,2018.5,Poor,0.007998298452234284,0.0025891646075506705,NHANES
18-29,2018.5,Fair,0.13044649196693683,0.011640932050303207,NHANES
18-29,2018.5,Good,0.357968531182092,0.02056975558303746,NHANES
18-29,2018.5,Very Good,0.34265895695355025,0.017987089515901066,NHANES
18-29,2018.5,Excellent,0.1609277214653152,0.018317450230278105,NHANES
18-29,2022,Poor,0.010831813358066072,0.004324880094856605,NHANES
18-29,2022,Fair,0.09145219469330101,0.008799856439025816,NHANES
18-29,2022,Good,0.3031024973372066,0.020685942120641922,NHANES
18-29,2022,Very Good,0.36377276898439,0.011364931523974595,NHANES
18-29,2022,Excellent,0.23084072643106798,0.01481718886346987,NHANES
