"cohort","estimate","std_error","ci_lower_90","ci_upper_90","prior"
NA,0.0156795812204456,0.00481679454733064,0.0094097916553417,0.0247010986748577,"Default"
1884,0.0276893177172747,0.100407230653384,-0.13579088571958,0.197093782034744,"Concentrated"
1888,0.00196655389547733,0.0715815962348262,-0.113887294964038,0.121863622953985,"Concentrated"
1892,-0.062020471254368,0.0683695515718601,-0.174169635844734,0.05044363480174,"Concentrated"
1896,-0.0844167784479247,0.0488768981708369,-0.164348940793771,-0.00354092407327418,"Concentrated"
1900,-0.171469060838915,0.0490015685050681,-0.252377906116611,-0.0913334513108553,"Concentrated"
1904,-0.138292724422975,0.0387396152242928,-0.202511212515139,-0.0750570309227673,"Concentrated"
1908,-0.0682108441167742,0.0371518072124958,-0.128670451917056,-0.00637497513863008,"Concentrated"
1912,-0.0770772420314753,0.0331146787828771,-0.131784878418842,-0.0229777348896782,"Concentrated"
1916,-0.069081726950127,0.0373098428379144,-0.130094050143644,-0.00781004703556208,"Concentrated"
1920,0.0036084126485047,0.030462653191388,-0.0461611500698209,0.0539245813601312,"Concentrated"
1924,0.0670724108314545,0.0317461152566974,0.0152482415733273,0.119927234904026,"Concentrated"
1928,0.0954469914156238,0.0292380480865816,0.0484905421345944,0.144090299667802,"Concentrated"
1932,0.107036196139604,0.0309242316406764,0.0570894357609434,0.159456151150843,"Concentrated"
1936,0.152521460224208,0.0273456743078084,0.108224118374333,0.198296160641817,"Concentrated"
1940,0.155773482973908,0.0289202516131323,0.10867912534915,0.20324721355682,"Concentrated"
1944,0.200492963354949,0.0258622709955897,0.15840429164736,0.243358862460004,"Concentrated"
1948,0.152788253358563,0.0265880071243206,0.110208767465545,0.197445525708896,"Concentrated"
1952,0.127268073636118,0.0257281351822526,0.0853104277733377,0.170119838240235,"Concentrated"
1956,0.110857400722629,0.0270433186711771,0.0662617264991508,0.155052838797778,"Concentrated"
1960,0.0988965493973833,0.0264800557595152,0.0560155696806583,0.142644243739311,"Concentrated"
1964,0.0981590066993773,0.0293884247395651,0.0500945139741141,0.146763776544868,"Concentrated"
1968,0.0605838831896292,0.028122112898781,0.0149017616835851,0.106369240424279,"Concentrated"
1972,0.0126819510721299,0.030064539683111,-0.0369144512649679,0.0623326393867718,"Concentrated"
1976,0.0150003112129048,0.0301855187156817,-0.0349597306910346,0.0642113219360224,"Concentrated"
1980,0.00285826949940277,0.0349347631098537,-0.0551636455043003,0.0597201068336061,"Concentrated"
1984,-0.0701912355914693,0.0330774188063306,-0.124340591344109,-0.0161506756852231,"Concentrated"
1988,-0.11096600406113,0.0363753452193107,-0.170824972859841,-0.0518411015407027,"Concentrated"
1992,-0.133334901161374,0.0378362551745497,-0.194708525506498,-0.0713001617544018,"Concentrated"
1996,-0.117319418085398,0.0428975925878007,-0.187565887034724,-0.0469412308123479,"Concentrated"
2000,-0.182133504470586,0.0499652868805301,-0.265105324146374,-0.100585200430765,"Concentrated"
2004,-0.204163166637419,0.0712322691648142,-0.322466103395168,-0.0886562973648365,"Concentrated"
NA,0.0156835790152002,0.00488176852196233,0.0093978453165579,0.0246875113505012,"Concentrated"
