survey,cohort_index,cohort_midpoint,n_cells,estimate,ci_lower,ci_upper,se,p_value,rel_to_cbar,in_primary_region
NHANES,4,1939.5,4,0.00605621417339382,-0.03421676422559604,0.04632919257238368,0.0205474379586683,0.768191106877892,-24.029598102358477,TRUE
NHANES,5,1944.3,5,0.0609395207337744,0.02339037973475145,0.09848866173279734,0.0191577249995015,0.00146866763354843,-19.229598102358523,TRUE
NHANES,6,1949.3,5,0.0467643282618356,0.01269077945312024,0.08083787707055096,0.017384463677916,0.00714683501955856,-14.229598102358523,TRUE
NHANES,7,1954.3,5,0.0395911417315518,0.00704676287640932,0.07213552058669429,0.0166042749260931,0.017110036766972,-9.229598102358523,TRUE
NHANES,8,1959.3,5,0.0015267772987494,-0.02954265446125082,0.03259620905874962,0.0158517508979593,0.923269891056321,-4.229598102358523,TRUE
NHANES,9,1964.3,5,-0.0175289017641391,-0.05051799626176494,0.01546019273348674,0.016831170662054,0.297668351153495,0.7704018976414773,TRUE
NHANES,10,1969.3,5,0.0150147888244691,-0.0160936014348281,0.04612317908376631,0.0158716276833149,0.344144660765329,5.770401897641477,TRUE
NHANES,11,1974.3,5,-0.0181851856277086,-0.05147392731624788,0.01510355606083068,0.0169840518819078,0.284298658476965,10.770401897641477,TRUE
NHANES,12,1979.3,5,-0.0111394981552221,-0.04104736357393167,0.01876836726348747,0.0152591150095457,0.465378966341575,15.770401897641477,TRUE
NHANES,13,1984.25,4,-0.00147776506166105,-0.03596049751026174,0.03300496738693963,0.0175932308411228,0.93305968196476,20.720401897641523,TRUE
NHANES,14,1989.1666666666667,3,-0.0554396863292063,-0.09290448888794647,-0.01797488377046613,0.0191146951830307,0.00372844508993695,25.637068564308265,FALSE
NHANES,15,1994,2,-0.032279686309516,-0.09057336487865278,0.02601399225962078,0.0297416727393555,0.277777123144996,30.470401897641523,FALSE
NHANES,16,1998.5,1,0.0902953947641359,-0.00580931787215222,0.186400107400424,0.0490330166511674,0.0655494996946381,34.97040189764152,FALSE
GSS,1,1884.5,1,0.116921269357849,-0.22958483667540097,0.4634273753910989,0.176788829608801,0.508383409546989,-67.18822232024695,FALSE
GSS,2,1889.5,2,-0.0309577481686427,-0.2105327734677318,0.14861727713044642,0.0916199108668822,0.735444899854141,-62.18822232024695,FALSE
GSS,3,1894.5,3,-0.112767665304063,-0.2329988617696157,0.00746353116148969,0.0613424471763024,0.0660190266591403,-57.18822232024695,FALSE
GSS,4,1899.5,4,-0.112522571204702,-0.20294682448484705,-0.02209831792455698,0.0461348231021148,0.014731255342986,-52.18822232024695,FALSE
GSS,5,1904.5,5,-0.122270458102831,-0.1945426534051259,-0.04999826280053614,0.0368735690317831,9.1393694192829e-4,-47.18822232024695,FALSE
GSS,6,1909.5,6,-0.0691740223012825,-0.1274781961080641,-0.01086984849450088,0.0297470274524396,0.0200535910799422,-42.18822232024695,FALSE
GSS,7,1914.5,7,-0.0763085797174154,-0.1275413715609266,-0.02507578787390423,0.0261391795119955,0.00350936458915461,-37.18822232024695,FALSE
GSS,8,1919.5,8,-0.0549575911145574,-0.0995173568917328,-0.01039782533738199,0.0227345743761099,0.0156368025686244,-32.18822232024695,FALSE
GSS,9,1924.5,9,-0.0123497806877921,-0.05528133870936625,0.03058177733378205,0.0219038561334562,0.572880475692946,-27.18822232024695,TRUE
GSS,10,1929.5,10,0.0625531269141784,0.0235304716395684,0.1015757821887884,0.01990951799725,0.00167958907029031,-22.18822232024695,TRUE
GSS,11,1934.5,11,0.0534099042970229,0.01435383768408461,0.09246597090996118,0.0199265645984379,0.00735694415529961,-17.18822232024695,TRUE
GSS,12,1939.5,11,0.105689689377471,0.0745978931959797,0.1367814855589623,0.0158631613170874,2.71508794644266e-11,-12.18822232024695,TRUE
GSS,13,1944.5,11,0.101855456459964,0.073847146321830745,0.12986376659809723,0.0142899541521088,1.03227207060035e-12,-7.18822232024695,TRUE
GSS,14,1949.5,11,0.0926372639530127,0.0699768952945269,0.11529763261149847,0.0115614125808601,1.1441442217999101e-15,-2.1882223202469504,TRUE
GSS,15,1954.5,10,0.0453945828552942,0.02138370324941969,0.0694054624611687,0.0122504487785074,2.1113812289081e-4,2.8117776797530496,TRUE
GSS,16,1959.5,9,0.042649092837803,0.01820983789039181,0.06708834778521419,0.0124690076262302,6.25714666090832e-4,7.81177767975305,TRUE
GSS,17,1964.5,8,-0.0123301477761197,-0.0385998501038541,0.0139395545516147,0.0134029093508849,0.35759730445239,12.81177767975305,TRUE
GSS,18,1969.5,7,-0.0307533584606009,-0.06186099954259462,3.54282621392827e-4,0.0158712454499968,0.0526675303354943,17.81177767975305,TRUE
GSS,19,1974.5,6,-0.0801849472695536,-0.11209213664834478,-0.0482777578907624,0.0162791782544853,8.43328797179578e-7,22.81177767975305,TRUE
GSS,20,1979.5,5,-0.0642694215670028,-0.09893602074602516,-0.02960282238798042,0.0176870403974604,2.79631684710651e-4,27.81177767975305,TRUE
GSS,21,1984.5,4,-0.118479963456317,-0.1594572537244207,-0.0775026731882133,0.0209067807490325,1.45974119838679e-8,32.81177767975305,FALSE
GSS,22,1989.5,3,-0.164961545064505,-0.21383513219524547,-0.11608795793376452,0.0249355036381329,3.7351702777122594e-11,37.81177767975305,FALSE
GSS,23,1994.5,2,-0.142116585528119,-0.20535570032793335,-0.07887747072830466,0.0322648544897012,1.06131079631665e-5,42.81177767975305,FALSE
GSS,24,1999.5,1,-0.138672500075823,-0.21364561164943824,-0.06369938850220774,0.0382515875375588,2.88908206646855e-4,47.81177767975305,FALSE
