survey,cohort_grid,estimate,ci_lower_90,ci_upper_90,n_bin,birth_year,rel_to_cbar,in_primary_region
NHIS,1936,0.0830551032934913,0.0525287823392955,0.114058365864693,9829,1937.3497634801279,-19.26167675784677,TRUE
NHIS,1940,0.110806623314904,0.0801814625767162,0.141721819410498,8305,1941.3497634801279,-15.261676757846772,TRUE
NHIS,1944,0.0994220813055319,0.071926101071742,0.127993539038837,14810,1945.3497634801279,-11.261676757846772,TRUE
NHIS,1948,0.097239021195669,0.0679244313997008,0.12708083437815,9416,1949.3497634801279,-7.261676757846772,TRUE
NHIS,1952,0.0776472572513746,0.0503832590411657,0.104935287644411,19433,1953.3497634801279,-3.2616767578467716,TRUE
NHIS,1956,0.0671812175129972,0.0387941943739434,0.0961249380264288,12692,1957.3497634801279,0.7383232421532284,TRUE
NHIS,1960,0.0391464674964275,0.0118243545732547,0.0667187567442954,19973,1961.3497634801279,4.738323242153228,TRUE
NHIS,1964,0.00594985066584611,-0.0235405978912712,0.0356373347362773,12758,1965.3497634801279,8.738323242153228,TRUE
NHIS,1968,0.00431580133071867,-0.024767357317693,0.0334777725834381,15840,1969.3497634801279,12.738323242153228,TRUE
NHIS,1972,-0.0104234043030953,-0.0425774622101089,0.0224623952292974,8626,1973.3497634801279,16.73832324215323,TRUE
NHIS,1976,-0.0138192113748589,-0.0470531114763824,0.019738497606852,10578,1977.3497634801279,20.73832324215323,TRUE
NHIS,1980,-0.0286304200647806,-0.064741677373338,0.00764504335998342,7218,1981.3497634801279,24.73832324215323,TRUE
NHIS,1984,-0.0240747504975432,-0.0602968774903058,0.0127679234372541,7673,1985.3497634801279,28.73832324215323,FALSE
NHIS,1988,-0.0347916817176057,-0.0751060752032084,0.00491582915287054,5341,1989.3497634801279,32.73832324215323,FALSE
NHIS,1992,-0.0190660170065594,-0.0621014379322984,0.0242353134882499,4001,1993.3497634801279,36.73832324215323,FALSE
NHIS,1996,-0.0244001612467741,-0.0741852500681345,0.0261343813354102,2019,1997.3497634801279,40.73832324215323,FALSE
NHIS,2000,-0.0645004971434073,-0.135252046225197,0.00359634798391977,524,2001.3497634801279,44.73832324215323,FALSE
NHIS,2004,-0.0678635436012211,-0.164644413772849,0.0242044375427962,144,2005.3497634801279,48.73832324215323,FALSE
CPS,1908,-0.0565862179538455,-0.210501829201106,0.088061171737319,35,1909.482908744771,-55.32384459307127,FALSE
