age_group_5yr,period_5yr,age_midpoint,period_midpoint,cohort_midpoint,mean_srh,mean_srh_se,n
65-69,2020,67,2020,1953,3.312727568046884,0.00606159598289796,40886
65-69,2025,67,2025,1958,3.31080170178437,0.013892095280007778,7895
70-74,1995,72,1995,1923,2.9434715503041438,0.009622297243664014,16921
70-74,2000,72,2000,1928,2.9888854566832204,0.00814410003743322,24900
70-74,2005,72,2005,1933,3.0362909834728073,0.008217040003338696,24392
70-74,2010,72,2010,1938,3.11592263596231,0.008748060670257766,27300
70-74,2015,72,2015,1943,3.2145144632776383,0.0070582283978058834,31981
70-74,2020,72,2020,1948,3.2334200083871885,0.006591177118488062,34515
70-74,2025,72,2025,1953,3.2074294264161813,0.01466817697556198,6771
75-79,1995,77,1995,1918,2.7897641717393884,0.010755113228694912,13300
75-79,2000,77,2000,1923,2.8448570864384735,0.008896700471070499,20786
75-79,2005,77,2005,1928,2.894306003542657,0.00881794284580843,21059
75-79,2010,77,2010,1933,2.9781759780696184,0.009971399104116364,20345
75-79,2015,77,2015,1938,3.080891115091059,0.008552757088444872,21682
75-79,2020,77,2020,1943,3.1253647907694506,0.007868867577467688,23491
75-79,2025,77,2025,1948,3.1139079558343092,0.01683841482783692,5212
80-84,1995,82,1995,1913,2.684438039947543,0.013504424680904702,8485
80-84,2000,82,2000,1918,2.7059307979587928,0.0096740639115633,17711
80-84,2005,82,2005,1923,2.7764826047711644,0.010335310690406701,15082
80-84,2010,82,2010,1928,2.863641152151784,0.01128008469759639,15243
80-84,2015,82,2015,1933,2.950226848139074,0.010517238021073213,14254
80-84,2020,82,2020,1938,3.0029582235699346,0.009895952931794008,14989
80-84,2025,82,2025,1943,3.0474028864296163,0.02198435676248693,3204
