age_group_5yr,period_5yr,age_midpoint,period_midpoint,cohort_midpoint,mean_srh,mean_srh_se,n
40-44,2010,42,2010,1968,3.571270975676685,0.005059637032172448,158292
40-44,2015,42,2015,1973,3.5010202684195195,0.005671514895620958,127201
40-44,2020,42,2020,1978,3.5491367337322863,0.005733341026976131,143878
40-44,2025,42,2025,1983,3.419346444414986,0.04018197218695294,1535
45-49,1990,47,1990,1943,3.757781066755256,0.012011118967743808,17861
45-49,1995,47,1995,1948,3.690243577327348,0.006964721646933945,65360
45-49,2000,47,2000,1953,3.579343539515139,0.006001259322092942,124461
45-49,2005,47,2005,1958,3.5684161180512017,0.0048063100676865615,192358
45-49,2010,47,2010,1963,3.487833045952414,0.004915162784815943,184835
45-49,2015,47,2015,1968,3.432607116322947,0.0056613897529226315,147163
45-49,2020,47,2020,1973,3.4758092039136272,0.006562832272777651,138990
45-49,2025,47,2025,1978,3.3049360501750624,0.0529841517536927,1413
50-54,1990,52,1990,1938,3.656537478293053,0.014180583259305646,13983
50-54,1995,52,1995,1943,3.5815696025232966,0.008028917591385059,53348
50-54,2000,52,2000,1948,3.501530330221944,0.006179821840294017,117365
50-54,2005,52,2005,1953,3.4804432149760824,0.0048718130718379445,212061
50-54,2010,52,2010,1958,3.4033067488383755,0.004548978760468986,233859
50-54,2015,52,2015,1963,3.364600847710452,0.005397723388831921,184273
50-54,2020,52,2020,1968,3.4136514559632887,0.006094923047381851,161437
50-54,2025,52,2025,1973,3.3385064681194585,0.05417373360496162,1516
55-59,1990,57,1990,1933,3.4687117981872726,0.016118614100502297,11658
55-59,1995,57,1995,1938,3.456360499257873,0.008965836485828004,42653
55-59,2000,57,2000,1943,3.408755038026915,0.007180580849573614,98179
55-59,2005,57,2005,1948,3.3670109801582253,0.00510554151438575,210393
55-59,2010,57,2010,1953,3.3017286440611917,0.004564856996946126,257058
55-59,2015,57,2015,1958,3.2811184802644204,0.005240335903793382,220429
55-59,2020,57,2020,1963,3.3423931159132136,0.005984585699805228,179959
55-59,2025,57,2025,1968,3.2695353547517625,0.05177827577134232,1561
60-64,1990,62,1990,1928,3.32583744766359,0.015979829403081906,11436
60-64,1995,62,1995,1933,3.3446730340384287,0.009694381570845302,37426
60-64,2000,62,2000,1938,3.2962723539402226,0.007544974434667414,81465
60-64,2005,62,2005,1943,3.3165013565643595,0.00534787564799175,192240
60-64,2010,62,2010,1948,3.262004426067641,0.004521607851217017,265694
60-64,2015,62,2015,1953,3.2388678948331817,0.005115338113988781,244007
60-64,2020,62,2020,1958,3.2893955144243123,0.005581856155511106,214810
60-64,2025,62,2025,1963,3.226688098012631,0.05913896584270357,1846
65-69,1990,67,1990,1923,3.212306396662543,0.014657499936989412,13391
65-69,1995,67,1995,1928,3.280551319460024,0.008851481968515085,40478
65-69,2000,67,2000,1933,3.2305082720267824,0.007956909825126196,73689
65-69,2005,67,2005,1938,3.264666482988488,0.005622715050739625,164386
65-69,2010,67,2010,1943,3.2819978071072367,0.004495858311071565,239958
65-69,2015,67,2015,1948,3.2708069578889982,0.0049604606467397805,245621
65-69,2020,67,2020,1953,3.287563671507091,0.005381377698825162,227683
65-69,2025,67,2025,1958,3.1845305808771633,0.05170327326133037,1850
70-74,1990,72,1990,1918,3.1293074244919543,0.015975383555920278,11415
70-74,1995,72,1995,1923,3.136877224965321,0.009409183577044915,36315
70-74,2000,72,2000,1928,3.1248976955532908,0.008155640778332852,65446
70-74,2005,72,2005,1933,3.1761445337846976,0.005927482868821525,137905
70-74,2010,72,2010,1938,3.2243068156595323,0.005041723718095397,192638
70-74,2015,72,2015,1943,3.2404969719424574,0.005425165241271218,204002
70-74,2020,72,2020,1948,3.2435588229549537,0.005877296088591218,212156
70-74,2025,72,2025,1953,3.285039658140224,0.0453986010210509,1584
75-79,1990,77,1990,1913,3.009541270439652,0.01884013834074022,8087
75-79,1995,77,1995,1918,3.029917722579575,0.010763259606859907,28242
75-79,2000,77,2000,1923,2.9921335440382446,0.008930885232969404,53569
75-79,2005,77,2005,1928,3.044719268599872,0.006688244855142619,115199
75-79,2010,77,2010,1933,3.0986206201081656,0.005715563027583232,148445
75-79,2015,77,2015,1938,3.1641379738246767,0.006618641232339875,146011
75-79,2020,77,2020,1943,3.169427361134609,0.0069668823168218515,159577
75-79,2025,77,2025,1948,3.1887312955106926,0.053412283378324994,1249
