age_group_5yr,period_5yr,age_midpoint,period_midpoint,cohort_midpoint,mean_srh,mean_srh_se,n
35-39,1985,37,1985,1948,3.2569225576462815,0.03285982208396526,601
35-39,1990,37,1990,1953,3.1586332140806395,0.030992244456187673,604
35-39,1995,37,1995,1958,3.191615038560395,0.029102118405238596,650
35-39,2000,37,2000,1963,3.123383351064603,0.03219243746341663,569
35-39,2005,37,2005,1968,3.040905796638891,0.0440239247204321,482
35-39,2010,37,2010,1973,3.09072277705895,0.04427162844936927,388
35-39,2015,37,2015,1978,2.980125905802521,0.04671581047478291,315
35-39,2020,37,2020,1983,2.8940624027234154,0.03355945841438407,932
40-44,1970,42,1970,1928,3.0867011609361534,0.04662393220025273,362
40-44,1975,42,1975,1933,3.041648674724596,0.04570146290301738,360
40-44,1980,42,1980,1938,3.054551681449855,0.043704731314450754,363
40-44,1985,42,1985,1943,3.235194484213488,0.035124965235585975,476
40-44,1990,42,1990,1948,3.1636905738137346,0.032003196244570854,552
40-44,1995,42,1995,1953,3.132013744832212,0.03322270558109199,590
40-44,2000,42,2000,1958,3.0862863904648297,0.035685133082289114,584
40-44,2005,42,2005,1963,2.989656985222889,0.040948266076770955,503
40-44,2010,42,2010,1968,3.0005029752697365,0.047116487893612606,392
40-44,2015,42,2015,1973,2.843769193980339,0.05312905370661238,296
40-44,2020,42,2020,1978,2.8801142251674605,0.03533365702780579,878
45-49,1970,47,1970,1923,2.984325985835091,0.046147766556901164,417
45-49,1975,47,1975,1928,3.033458099932422,0.051174465255593465,342
45-49,1980,47,1980,1933,3.038281343512036,0.05087667484499633,320
45-49,1985,47,1985,1938,3.0644871141156624,0.045501241713161625,398
45-49,1990,47,1990,1943,3.054962271768289,0.04186118367165656,446
45-49,1995,47,1995,1948,3.049560590064234,0.03918762112072416,503
45-49,2000,47,2000,1953,3.089781962819856,0.03430722172341711,556
45-49,2005,47,2005,1958,3.02173911819632,0.04085506040898005,514
45-49,2010,47,2010,1963,2.957154268965415,0.050195174579603076,380
45-49,2015,47,2015,1968,2.8941898077407306,0.06422031602445501,256
45-49,2020,47,2020,1973,2.8228685669700844,0.03568986764600551,786
50-54,1970,52,1970,1918,2.9094561364379055,0.04408370064917662,394
50-54,1975,52,1975,1923,2.935494959045606,0.04808379792471629,358
50-54,1980,52,1980,1928,2.9238807147269976,0.05285263193257394,299
50-54,1985,52,1985,1933,2.9554858681565137,0.05548454942758659,339
50-54,1990,52,1990,1938,3.0439402841125225,0.04788675079076933,333
50-54,1995,52,1995,1943,3.0157358219282733,0.04633033737272621,428
50-54,2000,52,2000,1948,2.9817555124368846,0.04269002099338288,501
50-54,2005,52,2005,1953,2.9347174982044066,0.04276203239434661,472
50-54,2010,52,2010,1958,2.9496827580643257,0.04990218192258905,412
50-54,2015,52,2015,1963,2.93162651147054,0.049981670059094464,305
50-54,2020,52,2020,1968,2.8448893175585965,0.04155374433251959,728
55-59,1970,57,1970,1913,2.701734311612179,0.05028843236837458,371
55-59,1975,57,1975,1918,2.7649001159800815,0.05077124771137665,352
55-59,1980,57,1980,1923,2.7881051002050254,0.05751919251064793,356
55-59,1985,57,1985,1928,2.829281787762907,0.05481277506673455,315
55-59,1990,57,1990,1933,2.897204514645639,0.05178039999604165,280
55-59,1995,57,1995,1938,2.945730303130746,0.05289685503402577,309
55-59,2000,57,2000,1943,3.0627574221080756,0.04921957225351748,372
55-59,2005,57,2005,1948,2.9078221488077443,0.04693747663977466,406
55-59,2010,57,2010,1953,2.799040218640143,0.052470904882314956,377
55-59,2015,57,2015,1958,2.8296386921317587,0.052960990867133816,324
55-59,2020,57,2020,1963,2.791479947980934,0.033986913952201644,865
60-64,1970,62,1970,1908,2.6794099995989806,0.05468729807303778,306
60-64,1975,62,1975,1913,2.6334518877906006,0.0558381974715606,309
60-64,1980,62,1980,1918,2.675791401215791,0.055909420235082954,308
60-64,1985,62,1985,1923,2.7726771639208962,0.05195815427801676,350
60-64,1990,62,1990,1928,2.888057869718267,0.06407075521921789,257
60-64,1995,62,1995,1933,2.877484851665169,0.05964689301988955,263
60-64,2000,62,2000,1938,2.8855151551862437,0.04993675050416999,337
60-64,2005,62,2005,1943,2.8230822586561497,0.0512176381038094,339
60-64,2010,62,2010,1948,2.8536433862104484,0.046762399086398496,370
60-64,2015,62,2015,1953,2.8428454047315856,0.061815453294277393,263
60-64,2020,62,2020,1958,2.858514074160175,0.03359108266444656,952
65-69,1970,67,1970,1903,2.4899889798099313,0.05697043340478021,278
65-69,1975,67,1975,1908,2.454384300745405,0.060011862905467735,272
65-69,1980,67,1980,1913,2.766011947237336,0.05676063858050003,314
65-69,1985,67,1985,1918,2.692737566108421,0.04993331972027519,348
65-69,1990,67,1990,1923,2.7887886580392998,0.06031192737844935,261
65-69,1995,67,1995,1928,2.861415018224269,0.05585659136007131,235
65-69,2000,67,2000,1933,2.906015968046839,0.058534384959408034,252
65-69,2005,67,2005,1938,2.700386610533063,0.06187366467842571,265
65-69,2010,67,2010,1943,2.7571360586895772,0.058405222579924726,276
65-69,2015,67,2015,1948,2.9233028166715243,0.047722401662760004,286
65-69,2020,67,2020,1953,2.874589889937297,0.031418605506232884,967
70-74,1970,72,1970,1898,2.372668257187652,0.06633247623954028,225
70-74,1975,72,1975,1903,2.561718359145623,0.0697032267392358,217
70-74,1980,72,1980,1908,2.620974841372202,0.06865694987763145,222
70-74,1985,72,1985,1913,2.533851196349359,0.06538912818244721,263
70-74,1990,72,1990,1918,2.674633623610725,0.059937776745191795,270
70-74,1995,72,1995,1923,2.737788691110773,0.0587534321844831,242
70-74,2000,72,2000,1928,2.827889779605484,0.06109907950506594,230
70-74,2005,72,2005,1933,2.735559562303512,0.07218710230176173,200
70-74,2010,72,2010,1938,2.8158588799590376,0.07943087847013794,206
