"year","age_group","stratum","mean_srh","n","dataset"
1996,"40-49","NH-AIAN",3.35695070390853,276,"BRFSS"
1996,"40-49","NH-Asian/PI",3.74823804099729,525,"BRFSS"
1996,"40-49","Hispanic",3.35062343162414,1638,"BRFSS"
1996,"40-49","Other",3.65074533402508,278,"BRFSS"
1996,"50-59","NH-White",3.60818050132442,13731,"BRFSS"
1996,"50-59","NH-Black",3.1024055329775,1193,"BRFSS"
1996,"50-59","NH-AIAN",3.55110379974651,189,"BRFSS"
1996,"50-59","NH-Asian/PI",3.60617966607029,255,"BRFSS"
1996,"50-59","Hispanic",3.07598093013368,877,"BRFSS"
1996,"50-59","Other",3.34869420881702,163,"BRFSS"
1996,"60-69","NH-White",3.3902549208914,12170,"BRFSS"
1996,"60-69","NH-Black",2.91092741533373,1004,"BRFSS"
1996,"60-69","NH-AIAN",3.11516754839764,112,"BRFSS"
1996,"60-69","NH-Asian/PI",3.06055887307729,169,"BRFSS"
1996,"60-69","Hispanic",2.90847948588534,697,"BRFSS"
1996,"60-69","Other",3.30606386260558,133,"BRFSS"
1996,"70-79","NH-White",3.15797166748271,10158,"BRFSS"
1996,"70-79","NH-Black",2.65882987205416,740,"BRFSS"
1996,"70-79","NH-AIAN",2.85997050891521,79,"BRFSS"
1996,"70-79","NH-Asian/PI",3.65088594699828,135,"BRFSS"
1996,"70-79","Hispanic",2.76244224599739,402,"BRFSS"
1996,"70-79","Other",2.87879407185025,127,"BRFSS"
1996,"80-89","NH-White",2.98209639648549,4479,"BRFSS"
1996,"80-89","NH-Black",2.87261975606132,274,"BRFSS"
1996,"80-89","NH-AIAN",2.82337766584337,24,"BRFSS"
1996,"80-89","NH-Asian/PI",2.6809681005571,49,"BRFSS"
1996,"80-89","Hispanic",2.83374854431773,145,"BRFSS"
1996,"80-89","Other",2.82158185737286,61,"BRFSS"
1997,"18-29","NH-White",3.9326794722623,17489,"BRFSS"
1997,"18-29","NH-Black",3.80903659576617,2513,"BRFSS"
1997,"18-29","NH-AIAN",3.91670436817416,364,"BRFSS"
1997,"18-29","NH-Asian/PI",3.86523790022473,685,"BRFSS"
1997,"18-29","Hispanic",3.56340237769184,2472,"BRFSS"
1997,"18-29","Other",3.73468994554503,353,"BRFSS"
1997,"30-39","NH-White",3.93880977053878,23161,"BRFSS"
1997,"30-39","NH-Black",3.67517169237486,2730,"BRFSS"
1997,"30-39","NH-AIAN",3.45758333709775,404,"BRFSS"
1997,"30-39","NH-Asian/PI",3.92149558820535,687,"BRFSS"
1997,"30-39","Hispanic",3.46171526241268,2509,"BRFSS"
1997,"30-39","Other",3.73636532234922,348,"BRFSS"
1997,"40-49","NH-White",3.83088423362124,22487,"BRFSS"
1997,"40-49","NH-Black",3.4550236780901,2303,"BRFSS"
1997,"40-49","NH-AIAN",3.56602221976631,353,"BRFSS"
1997,"40-49","NH-Asian/PI",3.73837686403912,575,"BRFSS"
1997,"40-49","Hispanic",3.26530377075328,1760,"BRFSS"
1997,"40-49","Other",3.64147070851124,340,"BRFSS"
1997,"50-59","NH-White",3.65292974047841,15846,"BRFSS"
1997,"50-59","NH-Black",3.15305539638014,1389,"BRFSS"
1997,"50-59","NH-AIAN",3.36808982854187,225,"BRFSS"
1997,"50-59","NH-Asian/PI",3.21417794541769,252,"BRFSS"
1997,"50-59","Hispanic",2.92020151465557,1026,"BRFSS"
1997,"50-59","Other",3.17852993271677,212,"BRFSS"
1997,"60-69","NH-White",3.40186529650756,12962,"BRFSS"
1997,"60-69","NH-Black",2.88839393006668,1142,"BRFSS"
1997,"60-69","NH-AIAN",2.70194154636504,154,"BRFSS"
1997,"60-69","NH-Asian/PI",3.42759965525345,212,"BRFSS"
1997,"60-69","Hispanic",2.84634587699125,817,"BRFSS"
1997,"60-69","Other",3.37733879194,167,"BRFSS"
1997,"70-79","NH-White",3.15826826917137,11290,"BRFSS"
1997,"70-79","NH-Black",2.73335450550787,795,"BRFSS"
1997,"70-79","NH-AIAN",2.92220435313748,79,"BRFSS"
1997,"70-79","NH-Asian/PI",3.24414975623039,186,"BRFSS"
1997,"70-79","Hispanic",2.70663228760928,506,"BRFSS"
1997,"70-79","Other",3.06253236347107,152,"BRFSS"
1997,"80-89","NH-White",2.9828737989609,5036,"BRFSS"
1997,"80-89","NH-Black",2.71198913326867,258,"BRFSS"
1997,"80-89","NH-AIAN",2.97482587271906,37,"BRFSS"
1997,"80-89","NH-Asian/PI",3.06576030146317,53,"BRFSS"
1997,"80-89","Hispanic",2.38936262124394,163,"BRFSS"
1997,"80-89","Other",3.20958755584327,86,"BRFSS"
1998,"18-29","NH-White",3.9095258057681,18885,"BRFSS"
1998,"18-29","NH-Black",3.76632010704379,2762,"BRFSS"
1998,"18-29","NH-AIAN",3.5769542252379,370,"BRFSS"
1998,"18-29","NH-Asian/PI",3.88735533272063,734,"BRFSS"
1998,"18-29","Hispanic",3.52966298340399,3189,"BRFSS"
1998,"18-29","Other",3.74765627005462,368,"BRFSS"
