"dataset","year","model","model_name","r_squared","n"
"CPS",2015,1,"srh_age",0.111925070270151,144279
"CPS",2015,2,"srh_sex",0.000669276288401299,144279
"CPS",2015,3,"srh_age_sex",0.112073998200928,144279
"CPS",2015,4,"srh_age_sex_interaction",0.112074180969314,144279
"CPS",2016,1,"srh_age",0.113815709372857,134562
"CPS",2016,2,"srh_sex",0.000624412304012445,134562
"CPS",2016,3,"srh_age_sex",0.113933124831695,134562
"CPS",2016,4,"srh_age_sex_interaction",0.113938310137047,134562
"CPS",2017,1,"srh_age",0.113228550302587,135750
"CPS",2017,2,"srh_sex",0.000685898672998397,135750
"CPS",2017,3,"srh_age_sex",0.113390524935757,135750
"CPS",2017,4,"srh_age_sex_interaction",0.11340059063964,135750
"CPS",2018,1,"srh_age",0.115917329177301,132144
"CPS",2018,2,"srh_sex",0.000624187660792752,132144
"CPS",2018,3,"srh_age_sex",0.116039846785502,132144
"CPS",2018,4,"srh_age_sex_interaction",0.116054534591238,132144
"CPS",2019,1,"srh_age",0.0933906310630287,132868
"CPS",2019,2,"srh_sex",0.000856850135235621,132868
"CPS",2019,3,"srh_age_sex",0.093688434136139,132868
"CPS",2019,4,"srh_age_sex_interaction",0.0936886294444464,132868
"CPS",2020,1,"srh_age",0.0969599978554717,117763
"CPS",2020,2,"srh_sex",0.000332874483853329,117763
"CPS",2020,3,"srh_age_sex",0.0970163859758958,117763
"CPS",2020,4,"srh_age_sex_interaction",0.0970267396870477,117763
"CPS",2021,1,"srh_age",0.0901652992989769,121845
"CPS",2021,2,"srh_sex",0.000464255273321834,121845
"CPS",2021,3,"srh_age_sex",0.0902791616149912,121845
"CPS",2021,4,"srh_age_sex_interaction",0.0902791686130993,121845
"CPS",2022,1,"srh_age",0.0924086813338836,114158
"CPS",2022,2,"srh_sex",0.000411123912100075,114158
"CPS",2022,3,"srh_age_sex",0.0925042438100908,114158
"CPS",2022,4,"srh_age_sex_interaction",0.0925214062764845,114158
"CPS",2023,1,"srh_age",0.0906748182113144,110008
"CPS",2023,2,"srh_sex",0.000473487355622582,110008
"CPS",2023,3,"srh_age_sex",0.0907705608089688,110008
"CPS",2023,4,"srh_age_sex_interaction",0.0908243066500504,110008
"CPS",2024,1,"srh_age",0.0929624606096796,109367
"CPS",2024,2,"srh_sex",0.000715227939304786,109367
"CPS",2024,3,"srh_age_sex",0.0931951939015643,109367
"CPS",2024,4,"srh_age_sex_interaction",0.0932231701294307,109367
"CPS",2025,1,"srh_age",0.0903125693694522,108044
"CPS",2025,2,"srh_sex",0.00053992001190506,108044
"CPS",2025,3,"srh_age_sex",0.0904763865256323,108044
"CPS",2025,4,"srh_age_sex_interaction",0.0905227577634676,108044
"GSS",1972,1,"srh_age",0.1122050138324,1607
"GSS",1972,2,"srh_sex",0.004198360414574,1607
"GSS",1972,3,"srh_age_sex",0.114387939685468,1607
"GSS",1972,4,"srh_age_sex_interaction",0.11440593139182,1607
"GSS",1973,1,"srh_age",0.0806149011297009,1496
"GSS",1973,2,"srh_sex",0.00340839556691908,1496
"GSS",1973,3,"srh_age_sex",0.0846187088018088,1496
"GSS",1973,4,"srh_age_sex_interaction",0.0846344298514928,1496
"GSS",1974,1,"srh_age",0.107689696683093,1474
"GSS",1974,2,"srh_sex",0.00468326656960727,1474
"GSS",1974,3,"srh_age_sex",0.115586994926256,1474
"GSS",1974,4,"srh_age_sex_interaction",0.11576744892382,1474
"GSS",1975,1,"srh_age",0.0847169604342408,1484
"GSS",1975,2,"srh_sex",0.00264665025709299,1484
"GSS",1975,3,"srh_age_sex",0.0881934119528666,1484
"GSS",1975,4,"srh_age_sex_interaction",0.088209057899673,1484
"GSS",1976,1,"srh_age",0.108074254130677,1492
"GSS",1976,2,"srh_sex",0.00718473267039421,1492
"GSS",1976,3,"srh_age_sex",0.113906516004066,1492
"GSS",1976,4,"srh_age_sex_interaction",0.114043735103581,1492
"GSS",1977,1,"srh_age",0.0929297681847348,1520
"GSS",1977,2,"srh_sex",0.000596510217271362,1520
"GSS",1977,3,"srh_age_sex",0.0931623576675261,1520
"GSS",1977,4,"srh_age_sex_interaction",0.0937997993401922,1520
