"dataset","year","stratum","beta_age","se","p_value","n"
"BRFSS",2007,"Female",-0.0126356354913519,0.000241203942879544,0,266479
"BRFSS",2008,"Male",-0.0126508457674296,0.000316234285733525,0,153967
"BRFSS",2008,"Female",-0.0121472048257467,0.00023772743858135,0,254918
"BRFSS",2009,"Male",-0.0128232687883283,0.000311276288040974,0,162181
"BRFSS",2009,"Female",-0.0120319177515085,0.000232572120328637,0,264359
"BRFSS",2010,"Male",-0.0130456518561397,0.000284539064784833,0,167439
"BRFSS",2010,"Female",-0.0123015050997363,0.000211484712674451,0,275372
"BRFSS",2011,"Male",-0.0133381660751358,0.000252879829491455,0,196733
"BRFSS",2011,"Female",-0.0110249937448227,0.000209938468402785,0,303568
"BRFSS",2012,"Male",-0.0132762582532965,0.000260820448261361,0,189648
"BRFSS",2012,"Female",-0.0102964897673394,0.000223418593140483,0,279418
"BRFSS",2013,"Male",-0.0127257418503118,0.000246392275543416,0,198047
"BRFSS",2013,"Female",-0.0100730806302321,0.000215833507759687,0,285024
"BRFSS",2014,"Male",-0.0123979453116125,0.000250776922762982,0,190474
"BRFSS",2014,"Female",-0.0103020702099587,0.000219052786403953,0,267614
"BRFSS",2015,"Male",-0.0125259364995256,0.000250665236919868,0,181650
"BRFSS",2015,"Female",-0.00993760147251878,0.000222975361403801,0,247265
"BRFSS",2016,"Male",-0.0121115869620437,0.00024380439651031,0,206627
"BRFSS",2016,"Female",-0.0103063282978436,0.000224768954933176,0,268740
"BRFSS",2017,"Male",-0.0112816449103853,0.000266008684148976,0,196643
"BRFSS",2017,"Female",-0.00931980898115023,0.000249396812033448,8.71224914510879e-305,248217
"BRFSS",2018,"Male",-0.0118997510736847,0.000258886526214297,0,190624
"BRFSS",2018,"Female",-0.00893620666391078,0.000250963654940296,6.14302289879018e-277,229434
"BRFSS",2019,"Male",-0.0108396446982753,0.00024697996318116,0,186601
"BRFSS",2019,"Female",-0.00893089264391524,0.000237175546691354,2.51493409396824e-309,224214
"BRFSS",2020,"Male",-0.0132832161068484,0.000284508903605191,0,182810
"BRFSS",2020,"Female",-0.0109701812619319,0.000271621145434334,0,216465
"BRFSS",2021,"Male",-0.0121344859392095,0.000279724444401049,0,193569
"BRFSS",2021,"Female",-0.0096728762727471,0.000273477990288546,2.85029531279779e-273,223442
"BRFSS",2022,"Male",-0.0105002521189358,0.000260236700916567,0,203518
"BRFSS",2022,"Female",-0.00841095040549949,0.000252212287088486,2.92421138140488e-243,229357
"BRFSS",2023,"Male",-0.00971424546183511,0.000266655894701961,1.28666936322047e-289,199985
"BRFSS",2023,"Female",-0.00714322476933695,0.000252821887765208,2.58536255350867e-175,224590
"BRFSS",2024,"Male",-0.00938679701383802,0.000249105011042042,1.00704753094698e-309,215342
"BRFSS",2024,"Female",-0.00687115911263073,0.000249545251517728,1.23247223299657e-166,238474
"BRFSS",2025,"Male",-0.00833526013555353,0.00112622493881564,1.46823743011251e-13,9306
"BRFSS",2025,"Female",-0.00563661773659936,0.000998415683025081,1.69190744950338e-08,9878
"MEPS",2000,"Male",-0.0176335148587866,0.00075060776334692,1.45160147030005e-117,7057
"MEPS",2000,"Female",-0.0172297421841715,0.000688139766486833,2.1055471090351e-133,8231
"MEPS",2001,"Male",-0.0171945000367966,0.000650856933957317,1.79578016214849e-148,9496
"MEPS",2001,"Female",-0.0155534923934703,0.000577372292298696,6.46225686806982e-155,11178
"MEPS",2002,"Male",-0.0186645059893861,0.000625544962615653,4.12516242615168e-188,10903
"MEPS",2002,"Female",-0.0168044292105959,0.000535146685932995,9.02244737524821e-209,13140
"MEPS",2003,"Male",-0.0125449992120374,0.00342886565142322,0.000254964498215209,9241
"MEPS",2003,"Female",-0.0153312790093676,0.00058926500045369,5.0011059498367e-145,11423
"MEPS",2004,"Male",-0.0186016655509922,0.000693522491284467,1.01141633020807e-152,9322
"MEPS",2004,"Female",-0.0153132281952727,0.000585425256629791,1.55017376260707e-146,11455
"MEPS",2005,"Male",-0.0131721774480711,0.0036461905385077,0.000304763273172309,9265
"MEPS",2005,"Female",-0.0153929020672963,0.000596667682908891,1.23492665621808e-142,11261
"MEPS",2006,"Male",-0.0168815839460588,0.000675235298060947,1.43102710810306e-133,9302
"MEPS",2006,"Female",-0.0156745032494368,0.000590063111158236,6.95265277560178e-151,11332
"MEPS",2007,"Male",-0.0172644815706217,0.000678771176072123,1.15257018152785e-137,8607
"MEPS",2007,"Female",-0.0160688269962835,0.00061983760070646,1.39100184558717e-143,10265
"MEPS",2008,"Male",-0.0179777726091133,0.000676975538880781,7.80578990612219e-150,9288
"MEPS",2008,"Female",-0.0146741963772323,0.00061629100695321,3.05174461406984e-122,11035
"MEPS",2009,"Male",-0.016114499244599,0.000669593311229286,1.36683335711976e-124,10422
"MEPS",2009,"Female",-0.012690461807179,0.000846185420297928,2.10154103866916e-50,12481
"MEPS",2010,"Male",-0.0160411006443111,0.000673968994232883,1.20558398106322e-121,9428
