"dataset","year","stratum","beta_age","se","p_value","n"
"BRFSS",2005,"NH-Black",-0.0192818476452904,0.00072150767463598,2.25008004549441e-155,27822
"BRFSS",2005,"NH-AIAN",-0.0191858134777006,0.00243614000797879,3.98435775203255e-15,6149
"BRFSS",2005,"NH-Asian/PI",-0.0149582348324967,0.00155077322257788,6.85732203813445e-22,7546
"BRFSS",2005,"Hispanic",-0.0137736420999454,0.000930998025767939,2.55873361330703e-49,25253
"BRFSS",2005,"Other",-0.014370034333817,0.00155358867592691,3.23653657196184e-20,5120
"BRFSS",2006,"NH-White",-0.0135697820405292,0.000219034629397875,0,277112
"BRFSS",2006,"NH-Black",-0.0198592527218001,0.000717717277448508,2.49437851986842e-166,28603
"BRFSS",2006,"NH-AIAN",-0.0167812245208019,0.00250928048383787,2.49488453313882e-11,5440
"BRFSS",2006,"NH-Asian/PI",-0.0104937456149326,0.00205288236700277,3.27417271949584e-07,7252
"BRFSS",2006,"Hispanic",-0.0161290885968821,0.00104395883422832,1.30433198291887e-53,26133
"BRFSS",2006,"Other",-0.0138322220129134,0.00158949694795687,4.22160951652717e-18,5599
"BRFSS",2007,"NH-White",-0.01355225560878,0.000190204140411294,0,339315
"BRFSS",2007,"NH-Black",-0.019496366999075,0.000697074573191342,3.58492291478244e-170,33388
"BRFSS",2007,"NH-AIAN",-0.0185957544935915,0.00197500815662873,6.3394096209537e-21,6690
"BRFSS",2007,"NH-Asian/PI",-0.0142624973610119,0.00157098202684753,1.34159063793525e-19,8654
"BRFSS",2007,"Hispanic",-0.0153862914211536,0.000886637309710134,3.8565762972007e-67,30978
"BRFSS",2007,"Other",-0.014805705411727,0.00157656146487041,8.01711573530785e-21,6558
"BRFSS",2008,"NH-White",-0.0126543295816849,0.000195863057423069,0,326517
"BRFSS",2008,"NH-Black",-0.0187669253219817,0.000669116570225568,4.67700577738605e-171,32566
"BRFSS",2008,"NH-AIAN",-0.0151966136708577,0.00187593791115866,6.53275437461581e-16,6139
"BRFSS",2008,"NH-Asian/PI",-0.0154818700669419,0.00152714769885814,5.11115212779959e-24,8670
"BRFSS",2008,"Hispanic",-0.018693253031787,0.0008050061954674,3.48652613507498e-118,28483
"BRFSS",2008,"Other",-0.0128652037210472,0.00140743019268506,8.13028995431282e-20,6510
"BRFSS",2009,"NH-White",-0.0129852965917939,0.000188168222929004,0,339626
"BRFSS",2009,"NH-Black",-0.0186630793562826,0.000729923672975719,7.41431848623716e-143,34393
"BRFSS",2009,"NH-AIAN",-0.0155859325334353,0.0016897258290496,3.7981774966669e-20,6504
"BRFSS",2009,"NH-Asian/PI",-0.0110129180848677,0.00130853527195556,4.43510801965579e-17,9756
"BRFSS",2009,"Hispanic",-0.017139050568448,0.000735284879370862,4.14588030851697e-119,29812
"BRFSS",2009,"Other",-0.0150388878966839,0.00151033271432533,3.44247839346351e-23,6449
"BRFSS",2010,"NH-White",-0.0128062369891753,0.000181943411378682,0,351457
"BRFSS",2010,"NH-Black",-0.019235136627943,0.000602916565358838,2.79085906061182e-220,36066
"BRFSS",2010,"NH-AIAN",-0.0146642700703573,0.00182304075438095,1.02403230078911e-15,6604
"BRFSS",2010,"NH-Asian/PI",-0.0154188333871925,0.00122053406996691,2.69846353260708e-36,9628
