"year","age_group","stratum","mean_srh","n","dataset"
2004,"18-29","Female",3.74296529212394,23266,"BRFSS"
2004,"18-29","Male",3.76827860081413,15509,"BRFSS"
2004,"30-39","Female",3.74581708868365,31247,"BRFSS"
2004,"30-39","Male",3.76989251795841,19813,"BRFSS"
2004,"40-49","Female",3.58443009291365,36884,"BRFSS"
2004,"40-49","Male",3.63200070764554,24714,"BRFSS"
2004,"50-59","Female",3.42374893016773,34764,"BRFSS"
2004,"50-59","Male",3.45576140789223,23551,"BRFSS"
2004,"60-69","Female",3.24193146938842,26453,"BRFSS"
2004,"60-69","Male",3.2919150782711,17050,"BRFSS"
2004,"70-79","Female",3.06235023507855,20511,"BRFSS"
2004,"70-79","Male",3.07640959696929,11311,"BRFSS"
2004,"80-89","Female",2.88386339072861,11132,"BRFSS"
2004,"80-89","Male",2.93938571163428,4693,"BRFSS"
2005,"18-29","Female",3.70971450273527,23790,"BRFSS"
2005,"18-29","Male",3.75167859098209,14997,"BRFSS"
2005,"30-39","Female",3.73611462381135,34297,"BRFSS"
2005,"30-39","Male",3.73475327090571,21434,"BRFSS"
2005,"40-49","Female",3.61546290802656,42082,"BRFSS"
2005,"40-49","Male",3.61603251574236,27551,"BRFSS"
2005,"50-59","Female",3.41429423093781,43026,"BRFSS"
2005,"50-59","Male",3.43462179715691,28787,"BRFSS"
2005,"60-69","Female",3.25106299083547,33189,"BRFSS"
2005,"60-69","Male",3.29474144440598,21400,"BRFSS"
2005,"70-79","Female",3.0726108662351,26004,"BRFSS"
2005,"70-79","Male",3.09590790146357,14500,"BRFSS"
2005,"80-89","Female",2.94701510656042,14569,"BRFSS"
2005,"80-89","Male",2.95675760610133,6220,"BRFSS"
2006,"18-29","Female",3.69282998344809,20357,"BRFSS"
2006,"18-29","Male",3.78023001083857,13214,"BRFSS"
2006,"30-39","Female",3.74588778597778,31853,"BRFSS"
2006,"30-39","Male",3.73362269121685,19346,"BRFSS"
2006,"40-49","Female",3.62931944903911,41073,"BRFSS"
2006,"40-49","Male",3.63205770331133,26329,"BRFSS"
2006,"50-59","Female",3.43968105301884,44871,"BRFSS"
2006,"50-59","Male",3.4373746165516,29905,"BRFSS"
2006,"60-69","Female",3.26483537566134,35320,"BRFSS"
2006,"60-69","Male",3.30043591489127,22778,"BRFSS"
2006,"70-79","Female",3.06973439509442,26899,"BRFSS"
2006,"70-79","Male",3.13656901583605,15286,"BRFSS"
2006,"80-89","Female",2.93656883928732,16016,"BRFSS"
2006,"80-89","Male",3.01376769535729,6892,"BRFSS"
2007,"18-29","Female",3.70741909868804,21417,"BRFSS"
2007,"18-29","Male",3.73552739142554,13477,"BRFSS"
2007,"30-39","Female",3.72809684731565,36521,"BRFSS"
2007,"30-39","Male",3.72865025369461,20770,"BRFSS"
2007,"40-49","Female",3.61434589726961,47706,"BRFSS"
2007,"40-49","Male",3.60633764960356,29821,"BRFSS"
2007,"50-59","Female",3.41499280172549,56158,"BRFSS"
2007,"50-59","Male",3.44424124135136,35759,"BRFSS"
2007,"60-69","Female",3.27710308549584,48018,"BRFSS"
2007,"60-69","Male",3.27774200209147,30101,"BRFSS"
2007,"70-79","Female",3.095454377072,35515,"BRFSS"
2007,"70-79","Male",3.13161891642537,19868,"BRFSS"
2007,"80-89","Female",2.94518961747405,21144,"BRFSS"
2007,"80-89","Male",2.97285848448411,9308,"BRFSS"
2008,"18-29","Female",3.72836474049567,18389,"BRFSS"
2008,"18-29","Male",3.77525185416273,12044,"BRFSS"
2008,"30-39","Female",3.73140910688104,32542,"BRFSS"
2008,"30-39","Male",3.73168982619388,19281,"BRFSS"
2008,"40-49","Female",3.59102188366583,43941,"BRFSS"
2008,"40-49","Male",3.60574360092401,28146,"BRFSS"
2008,"50-59","Female",3.42408471787984,54320,"BRFSS"
2008,"50-59","Male",3.42082641772675,35015,"BRFSS"
2008,"60-69","Female",3.30831612756342,48444,"BRFSS"
